row_id,metric_name,formula,formula_source,threshold,units,comparator,threshold_source,first_introduced_task,first_commit,source_file,source_line,rationale_text,affected_maps,later_versions,changed_without_calibration,decision_role,scientifically_defensible,current_recommendation,failure_implication,non_implication
T00001,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.005,ratio,<=,PROJECT_HEURISTIC,tum_tuned_surface_geometry_ablation_v1,9256d24ae1806cc0b2e54cb870fa24517f7c9cef,reproduction/cross_dataset/tum_tuned_surface_geometry_ablation_v1/analyze_tuned_surface_results.py,56,and absrel_delta <= 0.005,TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00002,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.04,ratio,>=,PROJECT_HEURISTIC,tum_e3_bounded_hparam_sweep_v1,f32320a7674ded0e791f40fa33ab519b171e5543,reproduction/cross_dataset/tum_e3_bounded_hparam_sweep_v1/build_e3_sweep_configs.py,61,"""meaningful_improvement"": {""delta1_improvement_gte"": 0.04, ""AbsRel_worsening_lte"": 0.01, ""ratio_range"": [0.85, 1.15]},",TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00003,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.2,ratio,<=,PROJECT_HEURISTIC,arkitscenes_splatam_m1_learned_map_qualification_v1,26695aed7dec199c40ef7977e1885fdc2d2ecca1,reproduction/cross_dataset/arkitscenes_splatam_m1_learned_map_qualification_v1/evaluation_freeze/registry_freeze.json,13,"""absrel_max"": 0.2,",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00004,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.2,ratio,<=,PROJECT_HEURISTIC,arkitscenes_splatam_m1_learned_map_qualification_v1,26695aed7dec199c40ef7977e1885fdc2d2ecca1,reproduction/cross_dataset/arkitscenes_splatam_m1_learned_map_qualification_v1/export_and_heldout_eval.py,201,"""primary_absrel"": primary[""absrel""] <= 0.20,",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00005,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.2,ratio,<=,PROJECT_HEURISTIC,replica_rgbd_gaussian_mapping_frontend_qualification_v1,e2e6a48253df2a930f5dd0a3e09788adc5f53eb0,reproduction/cross_dataset/replica_rgbd_gaussian_mapping_frontend_qualification_v1/splatam_smoke_geometry_evaluation.json,5,"""absrel_lte"": 0.2,",Replica,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00006,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.2,ratio,<=,PROJECT_HEURISTIC,replica_splatam_protocol_conformance_pilot_v1,54fc86e2d77a0c24fad12ece927f2e396f6bfce4,reproduction/cross_dataset/replica_splatam_protocol_conformance_pilot_v1/splatam_60_frame_geometry_evaluation.json,5,"""absrel_lte"": 0.2,",Replica,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00007,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.2,ratio,<=,PROJECT_HEURISTIC,replica_splatfacto_native_baseline_qualification_v1,9501da9c4956c4be48ae474d01cf4d6038304e6b,reproduction/cross_dataset/replica_splatfacto_native_baseline_qualification_v1/splatfacto_native_baseline_result.json,20,"""absrel_lte"": 0.2,",Replica,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00008,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.2,ratio,<=,PROJECT_HEURISTIC,replica_splatfacto_native_baseline_qualification_v1,9501da9c4956c4be48ae474d01cf4d6038304e6b,reproduction/cross_dataset/replica_splatfacto_native_baseline_qualification_v1/splatfacto_pilot_geometry_evaluation.json,5,"""absrel_lte"": 0.2,",Replica,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00009,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.2,ratio,<=,PROJECT_HEURISTIC,replica_splatfacto_native_baseline_qualification_v1,9501da9c4956c4be48ae474d01cf4d6038304e6b,reproduction/cross_dataset/replica_splatfacto_native_baseline_qualification_v1/splatfacto_smoke_geometry_diagnostic.json,5,"""absrel_lte"": 0.2,",Replica,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00010,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.22,ratio,<=,PROJECT_HEURISTIC,tum_tuned_surface_geometry_ablation_v1,9256d24ae1806cc0b2e54cb870fa24517f7c9cef,reproduction/cross_dataset/tum_tuned_surface_geometry_ablation_v1/analyze_tuned_surface_results.py,53,"screen_a = item[""AbsRel""] <= 0.22 and item[""delta1""] >= 0.75",TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
