historical_module,core_v1_role,claim_boundary
Start-Safe,initial executability admission and projection,abstract contract
Risk-Aware budgeting,computational prioritization,not safety certificate
Feasibility-Aware/dominance,actuator-feasible set construction,reduced/full relation unproved
DT Verification,swept-segment precursor,margin is not collision
Predictive Recovery,backup-witness sequence search,finite candidate limit
HCE,backup-search acceleration,does not enlarge X_rec
Fallback,terminal backup or abort or infrastructure failure,must split
V4-B,relative-degree late-intervention boundary,negative evidence
Trial20,finite horizon/candidate exhaustion,negative boundary
ETH3D H3,structural activation limit,not DT invalidity
Replica saturation,integration/no-regression context,not superiority
