query_id,round,exact_query,source,search_date,result_count,screened_title_count,notes
L1,A,3D Gaussian Splatting robot navigation,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L2,A,Gaussian Splatting collision checking,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L3,A,Gaussian Splatting trajectory optimization,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L4,A,Gaussian Splatting CBF safety filter,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L5,A,Gaussian Splatting reactive control,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L6,A,Gaussian Splatting uncertainty robotics,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L7,A,Gaussian Splatting visibility active mapping,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L8,A,Bayesian 3D Gaussian Splatting uncertainty,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L9,A,Gaussian Splatting geometry reliability robotics,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L10,A,Gaussian Splatting free space occupancy,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L11,A,Gaussian Splatting SLAM uncertainty,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L12,A,neural implicit map safety certification robot,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L13,A,selective prediction abstention robotics safety,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L14,A,conformal risk control robotics safety,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L15,A,sampled data control barrier function robust,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L16,A,backup control barrier function terminal safe set,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L17,A,predictive safety filter terminal set,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L18,A,continuous collision detection ellipsoids,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L19,A,swept volume collision checking robot trajectory,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L20,A,anisotropic Gaussian ellipsoid distance collision,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L21,A,map quality qualification navigation geometry reference,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L22,A,risk aware Gaussian control robot,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L23,A,safe planning learned map uncertainty robotics,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
L24,A,perception aware uncertainty aware control barrier function,cross-source scholarly web + primary-source routing,2026-08-06,not_exposed_by_search_provider,3,title/abstract routed; primary source checked when included
SB1,B,papers citing SAFER-Splat Gaussian CBF,arXiv/author project pages,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB2,B,papers citing Splat-Nav Gaussian navigation,arXiv/CVF/IEEE,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB3,B,FOCI Gaussian overlap collision integral code,paper references/official code,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB4,B,SPLANNING normalized Gaussian collision probability,paper references/project page,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB5,B,FastBridge backup CBF 3D Gaussian Splatting,paper references/arXiv,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB6,B,GAVIS anisotropic visibility uncertainty 3DGS,CVF/paper references,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB7,B,conformal prediction measurement robust sampled data CBF,arXiv/paper references,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB8,B,predicted flow CBF terminal backup safe set,paper/project page,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB9,B,analytic collision cone CBF 3D Gaussian Splatting,arXiv/paper references,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB10,B,SplatCtrl reactive robot control Gaussian,arXiv/references,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB11,B,3DGS geometric accuracy mesh reference robotics,arXiv/CVF,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
SB12,B,implicit swept volume SDF continuous collision,ACM/arXiv/code,2026-08-06,not_exposed_by_search_provider,2,core-reference/citation screening
