activity,allowed_claims,branch,cohort_registry_sha,commit,comparator,config_sha,dataset,domain,evidence_id,git_blob_sha,map_role,method_source_sha,module,polarity,prohibited_claims,report_bytes,report_path,report_sha256,result_type,sample_count,sample_unit,scene,source_pr,unresolved_fields
formal,One learned 3DGS map passed minimum controller viability; its PR80 stress registry did not activate all modules.,eth3d-single-map-fas-cbf-module-stress-benchmark-v1,UNKNOWN_NOT_RECOVERED,a05f8e1eca4c400a86583eb97fcce5be32062a0d,M0–M4 shared 100-scenario registry,UNKNOWN_NOT_RECOVERED,ETH3D,external,E01_ETH3D_PR80,ffa5e05817d98f312f0b2607452d1bf63c7707eb,LEARNED_3DGS,UNKNOWN_NOT_RECOVERED,M-G,structural,Learned-map deployment safety or Full FAS-CBF superiority.,8523,reproduction/cross_dataset/eth3d_single_map_fas_cbf_module_stress_benchmark_v1/report/REPORT_TRAIN_ONE_ETH3D_3DGS_MAP_AND_RUN_FAS_CBF_MODULE_STRESS_BENCHMARK_V1.md,44035feae65f89ccf8b146fe29c26f81dd9388098e7d0bd66716d632e8422767,formal,500,scenario-method terminal record,Delivery Area,PR #80,No sufficiently activated paired full-stack cohort.
shadow,The preregistered strict endpoint-unsafe/QP-feasible H3 stratum was unavailable under this frozen ETH3D contract.,eth3d-fas-cbf-stress-scenario-activation-v1,UNKNOWN_NOT_RECOVERED,e9bf932143542232400b451e3fa6caa888ae3a85,frozen stage-reachability contract,UNKNOWN_NOT_RECOVERED,ETH3D,external,E02_ETH3D_PR81,04ba8fcff9937b80651cf5bea100f63eaefd4bea,LEARNED_3DGS,UNKNOWN_NOT_RECOVERED,M-H,structural,DT verification does not exist or is ineffective.,3744,reproduction/cross_dataset/eth3d_fas_cbf_stress_scenario_activation_v1/report/REPORT_REFINE_FAS_CBF_STRESS_SCENARIO_ACTIVATION_ON_FROZEN_ETH3D_MAP_V1.md,d1dd5e2a6ea7dee34daf8c346938f4848ec12f2c70ba0948b56ca8a451ee62d5,structural,200000,plant-free candidate state tuple,Delivery Area,PR #81,"No V2 registry, smoke, or formal paired outcome."
formal,All methods completed all 99 map-admissible routes with zero official-mesh collisions; module activations are observable on a clean GT-derived Gaussian map.,replica-bounded-direct-goal-safer-fas-cbf-benchmark-v1,UNKNOWN_NOT_RECOVERED,fcb9b54541e331d5981ba9dfc8132313fb5cd429,M0–M4 shared 100-route registry,UNKNOWN_NOT_RECOVERED,Replica,in-domain,E03_REPLICA_PR65,12ef3996643b43c8ba2f79913d95a47a44d01dbd,GT_DERIVED_GAUSSIAN,UNKNOWN_NOT_RECOVERED,M-G,structural,Statistical safety superiority or learned-map evidence.,3019,reproduction/cross_dataset/replica_bounded_direct_goal_safer_fas_cbf_benchmark_v1/report/REPORT_REPLICA_BOUNDED_DIRECT_GOAL_SAFER_FAS_CBF_BENCHMARK_V1.md,1ddf9767c2cd199d001cd587d6c0588093a89ab027dfb484e91805a7537350c1,formal,500,route-method terminal record,bounded direct-goal scene,PR #65,Outcome saturation prevents superiority inference.
active,The original unsafe start and its negative h remain preserved.,historical work/risk_aware_cbf,UNKNOWN_NOT_RECOVERED,d77a0633d0c46c8be8ae1abf0e91c756271334a2,original start versus separately reported repaired start,UNKNOWN_NOT_RECOVERED,dense-flight,in-domain,E04_STARTGUARD_TRIAL57,6e5118c3ad3c5da79a226058b93d62ba36a85afc,OFFICIAL_SAFER_MAP,UNKNOWN_NOT_RECOVERED,M-A,negative,Post-repair navigation is original benchmark superiority.,2501,work/risk_aware_cbf/REPORT_STARTGUARD_TRIAL57.md,a6143eecdb3f824426818fba325d3e996efbd267bd882074d44f19c80c16069d,case study,1,trial,trial 57,historical frozen report,Single-trial original failure.
active,"In this frozen flight100 setting, StartGuard identified 8 repair-needed starts and repaired all 8; post-repair navigation is reported separately.",historical work/risk_aware_cbf,UNKNOWN_NOT_RECOVERED,d77a0633d0c46c8be8ae1abf0e91c756271334a2,original flight versus post-repair flight,UNKNOWN_NOT_RECOVERED,dense-flight,in-domain,E05_STARTGUARD_FLIGHT100,2e65703c9a368b2e3c7dfefd854e1b4ea464e878,OFFICIAL_SAFER_MAP,UNKNOWN_NOT_RECOVERED,M-A,positive,Original benchmark safety improvement or universal start repair.,2624,work/risk_aware_cbf/REPORT_STARTGUARD_FLIGHT100.md,80e3746c0e493a2b47a7c66f14615867798df0a048237ceae165f24b69c0b7e3,active validation,100,trial,flight100,historical frozen report,Original trial57 collision remains.
active,All 8 active-set repairs were full-query verified; the post-repair 100-trial navigation had zero collisions and no QP infeasibility.,historical work/risk_aware_cbf,UNKNOWN_NOT_RECOVERED,d77a0633d0c46c8be8ae1abf0e91c756271334a2,active-set verified projection versus verified projection,UNKNOWN_NOT_RECOVERED,dense-flight,in-domain,E06_ACTIVE_PROJECTION,94da4b7e3aa85fcf8e335433ccfb55f22a5bde43,OFFICIAL_SAFER_MAP,UNKNOWN_NOT_RECOVERED,M-A,positive,A general CBF theorem or original-flight superiority.,3267,work/risk_aware_cbf/REPORT_V4A_ACTIVE_PROJECTION_DT_AUDIT.md,c294394acf61e7a29f2d1be8dcd6d5788c70f49558f8a61a8b81c72989d54162,active validation,8,repair-needed state / navigation trial,flight100,historical frozen report,Only eight natural repair-needed states.
static,Verified projection repaired and full-query verified all 120 constructed states under this synthetic protocol.,historical work/risk_aware_cbf,UNKNOWN_NOT_RECOVERED,d77a0633d0c46c8be8ae1abf0e91c756271334a2,no repair / heuristic / verified projection,UNKNOWN_NOT_RECOVERED,synthetic perturbation,in-domain,E07_SYNTHETIC_START_STRESS,230e44c3211fd566cde1d7d53199e9db04b19d01,OFFICIAL_SAFER_MAP,UNKNOWN_NOT_RECOVERED,M-A,positive,Official benchmark-start performance.,7334,work/risk_aware_cbf/REPORT_SYNTHETIC_INITIAL_UNSAFE_STRESS_TEST.md,9efa6555c40753166deb81c7cd531a747aa0778e380da7685bfe5f76d3f426a5,synthetic stress,120,synthetic state,initial-unsafe stress,historical frozen report,Synthetic construction is not a natural held-out cohort.
formal,Risk-Aware V1 bestD reduced active constraints and mean runtime while preserving collision and progress in Stonehenge formal100.,historical work/risk_aware_cbf,UNKNOWN_NOT_RECOVERED,d77a0633d0c46c8be8ae1abf0e91c756271334a2,SAFER baseline versus Risk-Aware V1 bestD,UNKNOWN_NOT_RECOVERED,Stonehenge,in-domain,E08_RISK_AWARE_STONEHENGE,e28b5deaac4b012508c86a569147edfdf59a2c08,OFFICIAL_SAFER_MAP,UNKNOWN_NOT_RECOVERED,M-C,positive,A universal safety or progress improvement.,2812,work/risk_aware_cbf/REPORT_RISK_AWARE_V1_BEST_CONFIG_100_TRIAL.md,d03ab0fd0dc8241e145e9979d0f70a7d659146120f55e1747583ea0fd2d1255c,formal efficiency,100,trial,formal100,historical frozen report,Configuration-specific candidate budgeting.
formal,The report supports efficiency improvement on flight while preserving progress within its stated rule.,historical work/risk_aware_cbf,UNKNOWN_NOT_RECOVERED,d77a0633d0c46c8be8ae1abf0e91c756271334a2,SAFER baseline versus Risk-Aware V1 bestD,UNKNOWN_NOT_RECOVERED,dense-flight,in-domain,E09_RISK_AWARE_FLIGHT,8b3fb51138d6727e5cdac7552af751e2bd405e0c,OFFICIAL_SAFER_MAP,UNKNOWN_NOT_RECOVERED,M-C,positive,Cross-scene robustness or safety improvement; both variants retain trial57 collision.,4084,work/risk_aware_cbf/REPORT_RISK_AWARE_V1_FLIGHT_100_TRIAL.md,5a654465a0c184df3c49cb68d670a3c3d2fcfac18b706ae880a6d53a48f9a800,formal efficiency,100,trial,flight100,historical frozen report,Shared original collision.
diagnostic,"Forced candidates dominated the final union, limiting observed candidate-count benefit in this implementation.",historical work/risk_aware_cbf,UNKNOWN_NOT_RECOVERED,d77a0633d0c46c8be8ae1abf0e91c756271334a2,adaptive budget versus forced candidate union,UNKNOWN_NOT_RECOVERED,dense-flight,in-domain,E10_FORCED_DOMINANCE,0ab7f18317d7cc960f93e8f726fc840fa44930dd,OFFICIAL_SAFER_MAP,UNKNOWN_NOT_RECOVERED,M-B,negative,Adaptive V1 efficiency benefit or a safety conclusion.,9319,work/risk_aware_cbf/REPORT_FORCED_CANDIDATE_DOMINANCE.md,17e45a6c1178d6b70bdd523c5f8df998f49b9b1e364a1bf642b4d443f1885421,diagnostic,199,controller step,adaptive diagnostic,historical frozen report,No forced-candidate-aware active redesign evaluated.
