evidence_class,environment,metric,value
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,M1_decision_gain_b3_vs_b0,0
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,M2_certificate_gain_b3_vs_b0,35
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,M3_availability_gain_directional_slots,160
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,M4_leadtime_incremental_segment_or_backup,0
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,M5_backup_margin_observable,160
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,M6_cost_runtime_difference_defined,True
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,claim_boundary,M2 certificate gain is not behavioral gain; M3 availability is not a rescue.
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,M1_decision_gain_b3_vs_b0,0
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,M2_certificate_gain_b3_vs_b0,0
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,M3_availability_gain_directional_slots,100
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,M4_leadtime_incremental_segment_or_backup,0
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,M5_backup_margin_observable,0
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,M6_cost_runtime_difference_defined,True
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,claim_boundary,M2 certificate gain is not behavioral gain; M3 availability is not a rescue.
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,M1_decision_gain_b3_vs_b0,0
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,M2_certificate_gain_b3_vs_b0,26
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,M3_availability_gain_directional_slots,100
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,M4_leadtime_incremental_segment_or_backup,0
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,M5_backup_margin_observable,26
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,M6_cost_runtime_difference_defined,True
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,claim_boundary,M2 certificate gain is not behavioral gain; M3 availability is not a rescue.
