evidence_id,module,dataset,scene,map_role,source_pr,branch,commit,report_path,report_sha256,git_blob_sha,config_sha,method_source_sha,cohort_registry_sha,sample_unit,sample_count,comparator,result_type,polarity,activity,domain,allowed_claims,prohibited_claims,unresolved_fields
E01_ETH3D_PR80,M-G,ETH3D,Delivery Area,LEARNED_3DGS,PR #80,eth3d-single-map-fas-cbf-module-stress-benchmark-v1,a05f8e1eca4c400a86583eb97fcce5be32062a0d,reproduction/cross_dataset/eth3d_single_map_fas_cbf_module_stress_benchmark_v1/report/REPORT_TRAIN_ONE_ETH3D_3DGS_MAP_AND_RUN_FAS_CBF_MODULE_STRESS_BENCHMARK_V1.md,44035feae65f89ccf8b146fe29c26f81dd9388098e7d0bd66716d632e8422767,ffa5e05817d98f312f0b2607452d1bf63c7707eb,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,scenario-method terminal record,500,M0–M4 shared 100-scenario registry,formal,structural,formal,external,One learned 3DGS map passed minimum controller viability; its PR80 stress registry did not activate all modules.,Learned-map deployment safety or Full FAS-CBF superiority.,No sufficiently activated paired full-stack cohort.
E02_ETH3D_PR81,M-H,ETH3D,Delivery Area,LEARNED_3DGS,PR #81,eth3d-fas-cbf-stress-scenario-activation-v1,e9bf932143542232400b451e3fa6caa888ae3a85,reproduction/cross_dataset/eth3d_fas_cbf_stress_scenario_activation_v1/report/REPORT_REFINE_FAS_CBF_STRESS_SCENARIO_ACTIVATION_ON_FROZEN_ETH3D_MAP_V1.md,d1dd5e2a6ea7dee34daf8c346938f4848ec12f2c70ba0948b56ca8a451ee62d5,04ba8fcff9937b80651cf5bea100f63eaefd4bea,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,plant-free candidate state tuple,200000,frozen stage-reachability contract,structural,structural,shadow,external,The preregistered strict endpoint-unsafe/QP-feasible H3 stratum was unavailable under this frozen ETH3D contract.,DT verification does not exist or is ineffective.,"No V2 registry, smoke, or formal paired outcome."
E03_REPLICA_PR65,M-G,Replica,bounded direct-goal scene,GT_DERIVED_GAUSSIAN,PR #65,replica-bounded-direct-goal-safer-fas-cbf-benchmark-v1,fcb9b54541e331d5981ba9dfc8132313fb5cd429,reproduction/cross_dataset/replica_bounded_direct_goal_safer_fas_cbf_benchmark_v1/report/REPORT_REPLICA_BOUNDED_DIRECT_GOAL_SAFER_FAS_CBF_BENCHMARK_V1.md,1ddf9767c2cd199d001cd587d6c0588093a89ab027dfb484e91805a7537350c1,12ef3996643b43c8ba2f79913d95a47a44d01dbd,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,route-method terminal record,500,M0–M4 shared 100-route registry,formal,structural,formal,in-domain,All methods completed all 99 map-admissible routes with zero official-mesh collisions; module activations are observable on a clean GT-derived Gaussian map.,Statistical safety superiority or learned-map evidence.,Outcome saturation prevents superiority inference.
E04_STARTGUARD_TRIAL57,M-A,dense-flight,trial 57,OFFICIAL_SAFER_MAP,historical frozen report,historical work/risk_aware_cbf,d77a0633d0c46c8be8ae1abf0e91c756271334a2,work/risk_aware_cbf/REPORT_STARTGUARD_TRIAL57.md,a6143eecdb3f824426818fba325d3e996efbd267bd882074d44f19c80c16069d,6e5118c3ad3c5da79a226058b93d62ba36a85afc,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,trial,1,original start versus separately reported repaired start,case study,negative,active,in-domain,The original unsafe start and its negative h remain preserved.,Post-repair navigation is original benchmark superiority.,Single-trial original failure.
E05_STARTGUARD_FLIGHT100,M-A,dense-flight,flight100,OFFICIAL_SAFER_MAP,historical frozen report,historical work/risk_aware_cbf,d77a0633d0c46c8be8ae1abf0e91c756271334a2,work/risk_aware_cbf/REPORT_STARTGUARD_FLIGHT100.md,80e3746c0e493a2b47a7c66f14615867798df0a048237ceae165f24b69c0b7e3,2e65703c9a368b2e3c7dfefd854e1b4ea464e878,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,trial,100,original flight versus post-repair flight,active validation,positive,active,in-domain,"In this frozen flight100 setting, StartGuard identified 8 repair-needed starts and repaired all 8; post-repair navigation is reported separately.",Original benchmark safety improvement or universal start repair.,Original trial57 collision remains.
E06_ACTIVE_PROJECTION,M-A,dense-flight,flight100,OFFICIAL_SAFER_MAP,historical frozen report,historical work/risk_aware_cbf,d77a0633d0c46c8be8ae1abf0e91c756271334a2,work/risk_aware_cbf/REPORT_V4A_ACTIVE_PROJECTION_DT_AUDIT.md,c294394acf61e7a29f2d1be8dcd6d5788c70f49558f8a61a8b81c72989d54162,94da4b7e3aa85fcf8e335433ccfb55f22a5bde43,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,repair-needed state / navigation trial,8,active-set verified projection versus verified projection,active validation,positive,active,in-domain,All 8 active-set repairs were full-query verified; the post-repair 100-trial navigation had zero collisions and no QP infeasibility.,A general CBF theorem or original-flight superiority.,Only eight natural repair-needed states.
E07_SYNTHETIC_START_STRESS,M-A,synthetic perturbation,initial-unsafe stress,OFFICIAL_SAFER_MAP,historical frozen report,historical work/risk_aware_cbf,d77a0633d0c46c8be8ae1abf0e91c756271334a2,work/risk_aware_cbf/REPORT_SYNTHETIC_INITIAL_UNSAFE_STRESS_TEST.md,9efa6555c40753166deb81c7cd531a747aa0778e380da7685bfe5f76d3f426a5,230e44c3211fd566cde1d7d53199e9db04b19d01,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,synthetic state,120,no repair / heuristic / verified projection,synthetic stress,positive,static,in-domain,Verified projection repaired and full-query verified all 120 constructed states under this synthetic protocol.,Official benchmark-start performance.,Synthetic construction is not a natural held-out cohort.
E08_RISK_AWARE_STONEHENGE,M-C,Stonehenge,formal100,OFFICIAL_SAFER_MAP,historical frozen report,historical work/risk_aware_cbf,d77a0633d0c46c8be8ae1abf0e91c756271334a2,work/risk_aware_cbf/REPORT_RISK_AWARE_V1_BEST_CONFIG_100_TRIAL.md,d03ab0fd0dc8241e145e9979d0f70a7d659146120f55e1747583ea0fd2d1255c,e28b5deaac4b012508c86a569147edfdf59a2c08,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,trial,100,SAFER baseline versus Risk-Aware V1 bestD,formal efficiency,positive,formal,in-domain,Risk-Aware V1 bestD reduced active constraints and mean runtime while preserving collision and progress in Stonehenge formal100.,A universal safety or progress improvement.,Configuration-specific candidate budgeting.
E09_RISK_AWARE_FLIGHT,M-C,dense-flight,flight100,OFFICIAL_SAFER_MAP,historical frozen report,historical work/risk_aware_cbf,d77a0633d0c46c8be8ae1abf0e91c756271334a2,work/risk_aware_cbf/REPORT_RISK_AWARE_V1_FLIGHT_100_TRIAL.md,5a654465a0c184df3c49cb68d670a3c3d2fcfac18b706ae880a6d53a48f9a800,8b3fb51138d6727e5cdac7552af751e2bd405e0c,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,trial,100,SAFER baseline versus Risk-Aware V1 bestD,formal efficiency,positive,formal,in-domain,The report supports efficiency improvement on flight while preserving progress within its stated rule.,Cross-scene robustness or safety improvement; both variants retain trial57 collision.,Shared original collision.
E10_FORCED_DOMINANCE,M-B,dense-flight,adaptive diagnostic,OFFICIAL_SAFER_MAP,historical frozen report,historical work/risk_aware_cbf,d77a0633d0c46c8be8ae1abf0e91c756271334a2,work/risk_aware_cbf/REPORT_FORCED_CANDIDATE_DOMINANCE.md,17e45a6c1178d6b70bdd523c5f8df998f49b9b1e364a1bf642b4d443f1885421,0ab7f18317d7cc960f93e8f726fc840fa44930dd,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,UNKNOWN_NOT_RECOVERED,controller step,199,adaptive budget versus forced candidate union,diagnostic,negative,diagnostic,in-domain,"Forced candidates dominated the final union, limiting observed candidate-count benefit in this implementation.",Adaptive V1 efficiency benefit or a safety conclusion.,No forced-candidate-aware active redesign evaluated.
