rule_id,source_phase,guard,observation/result,reason_scope,retained_backup_requirement,deadline_requirement,candidate_requirement,destination_phase,action_authority,commit_allowed,old_backup_retained,new_backup_created,theorem_interpretation,failure_code_if_any,runtime_phase_enum,guard_function,result_enum,runtime_destination,commit_authority,fallback,deadline_behavior,failure_mapping,target_function,mapping_cardinality
SA_SAFE,START_ADMISSION,initial full-query admission,INITIAL_SAFE,NONE,NONE,OPEN,NONE,RUNTIME_CURRENT_ROLE,NONE,false,false,false,initial admission only,,START_ADMISSION,guard_sa_safe,INITIAL_SAFE,RUNTIME_CURRENT_ROLE,NONE,NONE,OPEN,NONE,StartAdmission.evaluate,EXACTLY_ONCE
SA_REPAIR,START_ADMISSION,initial state needs lawful repair,INITIAL_REPAIR_REQUIRED,NONE,NONE,OPEN,NONE,REPAIR,NONE,false,false,false,initial or explicit re-entry only,F_START_INVALID,START_ADMISSION,guard_sa_repair,INITIAL_REPAIR_REQUIRED,REPAIR,NONE,NONE,OPEN,F_START_INVALID,StartAdmission.evaluate,EXACTLY_ONCE
REPAIR_PASS,REPAIR,repaired state receives full re-certification,REPAIR_PASS,NONE,NONE,OPEN,NONE,RUNTIME_CURRENT_ROLE,NONE,false,false,false,repair proposal is not itself a certificate,,REPAIR,guard_repair_pass,REPAIR_PASS,RUNTIME_CURRENT_ROLE,NONE,NONE,OPEN,NONE,StartAdmission.evaluate_optional_repair,EXACTLY_ONCE
REPAIR_FAIL,REPAIR,repair or recertification fails,REPAIR_FAIL,NONE,NONE,ANY,NONE,ASSURANCE_BOUNDARY,OUTSIDE_METHOD,false,false,false,no method-certified initialization action,F_CURRENT_FEASIBILITY_FAIL,REPAIR,guard_repair_fail,REPAIR_FAIL,ASSURANCE_BOUNDARY,OUTSIDE_METHOD,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_CURRENT_FEASIBILITY_FAIL,StartAdmission.evaluate_optional_repair,EXACTLY_ONCE
REPAIR_UNKNOWN,REPAIR,repair evidence unresolved,REPAIR_UNKNOWN,UNRESOLVED_SCOPE,NONE,ANY,NONE,ASSURANCE_BOUNDARY,OUTSIDE_METHOD,false,false,false,unknown remains evidence-limited,F_CURRENT_QUERY_UNKNOWN,REPAIR,guard_repair_unknown,REPAIR_UNKNOWN,ASSURANCE_BOUNDARY,OUTSIDE_METHOD,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_CURRENT_QUERY_UNKNOWN,StartAdmission.evaluate_optional_repair,EXACTLY_ONCE
R0_DIAGNOSTIC,RUNTIME_CURRENT_ROLE,R0 has no independent hard-gate authority,R0_DIAGNOSTIC_COMPLETE,ANY,ANY,ANY,NONE,L1,NONE,false,true,false,diagnostic or health precheck only,,RUNTIME_CURRENT_ROLE,guard_r0_diagnostic,R0_DIAGNOSTIC_COMPLETE,L1,NONE,NONE,ANY,NONE,DiagnosticR0.observe,EXACTLY_ONCE
L1_PASS,L1,closed immediate segment certified,L1_PASS,NONE,ANY,OPEN,NONE,PRIMARY_PROPOSAL,NONE,false,true,false,L1 includes current endpoint,,L1,guard_l1_pass,L1_PASS,PRIMARY_PROPOSAL,NONE,NONE,OPEN,NONE,L1Runtime.evaluate_cycle,EXACTLY_ONCE
L1_FAIL,L1,candidate-independent immediate segment unsafe,L1_FAIL,NONE,ANY,ANY,NONE,ARBITRATION,NONE,false,true,false,no ordinary alternative search,F_IMMEDIATE_UNAVOIDABLE_SEGMENT_FAIL,L1,guard_l1_fail,L1_FAIL,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_IMMEDIATE_UNAVOIDABLE_SEGMENT_FAIL,L1Runtime.evaluate_cycle,EXACTLY_ONCE
L1_UNKNOWN_GLOBAL,L1,map or authority evidence unresolved,L1_UNKNOWN_GLOBAL,GLOBAL_AUTHORITY_OR_EVIDENCE,ANY,ANY,NONE,ARBITRATION,NONE,false,true,false,fallback only if retained token unaffected,F_MAP_REFERENCE_UNRESOLVED,L1,guard_l1_unknown_global,L1_UNKNOWN_GLOBAL,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_MAP_REFERENCE_UNRESOLVED,L1Runtime.evaluate_cycle,EXACTLY_ONCE
L1_UNKNOWN_HEALTH,L1,query health unresolved,L1_UNKNOWN_HEALTH,INFRASTRUCTURE_HEALTH,ANY,ANY,NONE,ARBITRATION,NONE,false,true,false,observer or query health is not unsafe,F_CURRENT_QUERY_UNKNOWN,L1,guard_l1_unknown_health,L1_UNKNOWN_HEALTH,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_CURRENT_QUERY_UNKNOWN,L1Runtime.evaluate_cycle,EXACTLY_ONCE
L1_UNKNOWN_UNRESOLVED,L1,scope cannot be classified,L1_UNKNOWN_UNRESOLVED,UNRESOLVED_SCOPE,ANY,ANY,NONE,ARBITRATION,NONE,false,true,false,fail closed at method boundary if no fallback,F_CURRENT_QUERY_UNKNOWN,L1,guard_l1_unknown_unresolved,L1_UNKNOWN_UNRESOLVED,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_CURRENT_QUERY_UNKNOWN,L1Runtime.evaluate_cycle,EXACTLY_ONCE
P0_PRIMARY,PRIMARY_PROPOSAL,controller returns finite primary proposal,PRIMARY_AVAILABLE,NONE,ANY,OPEN,PRIMARY,C0,NONE,false,true,false,proposal has no execution authority,,PRIMARY_PROPOSAL,guard_p0_primary,PRIMARY_AVAILABLE,C0,NONE,NONE,OPEN,NONE,PrimaryProposalAdapter.propose,EXACTLY_ONCE
P0_NONE,PRIMARY_PROPOSAL,no lawful primary proposal,NO_CANDIDATE,NONE,ANY,ANY,NONE,ARBITRATION,NONE,false,true,false,no candidate is not a safe stop,F_PRIMARY_FUTURE_SAFETY_FAIL,PRIMARY_PROPOSAL,guard_p0_none,NO_CANDIDATE,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_PRIMARY_FUTURE_SAFETY_FAIL,PrimaryProposalAdapter.propose,EXACTLY_ONCE
C0_PASS,C0,candidate admissibility complete,C0_PASS,NONE,ANY,OPEN,PRIMARY_OR_ALTERNATIVE,L2,NONE,false,true,false,candidate may proceed but cannot commit,,C0,guard_c0_pass,C0_PASS,L2,NONE,NONE,OPEN,NONE,C0Admission.evaluate,EXACTLY_ONCE
C0_FAIL_LOCAL_ALT,C0,candidate-local defect and fallback/alt prerequisites hold,C0_FAIL_LOCAL,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,ALT_SEARCH,NONE,false,true,false,another lawful candidate may repair local illegality,F_ACTUATOR_ADMISSIBILITY_LOCAL,C0,guard_c0_fail_local_alt,C0_FAIL_LOCAL,ALT_SEARCH,NONE,NONE,OPEN,F_ACTUATOR_ADMISSIBILITY_LOCAL,C0Admission.evaluate,EXACTLY_ONCE
C0_FAIL_LOCAL_ARB,C0,candidate-local defect without lawful search prerequisites,C0_FAIL_LOCAL,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,ARBITRATION,NONE,false,true,false,route to retained fallback or boundary,F_ACTUATOR_ADMISSIBILITY_LOCAL,C0,guard_c0_fail_local_arb,C0_FAIL_LOCAL,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_ACTUATOR_ADMISSIBILITY_LOCAL,C0Admission.evaluate,EXACTLY_ONCE
C0_UNKNOWN_LOCAL_ALT,C0,candidate-local computation unknown with lawful search prerequisites,C0_UNKNOWN_LOCAL,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,ALT_SEARCH,NONE,false,true,false,unknown remains typed during optional search,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,C0,guard_c0_unknown_local_alt,C0_UNKNOWN_LOCAL,ALT_SEARCH,NONE,NONE,OPEN,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,C0Admission.evaluate,EXACTLY_ONCE
C0_UNKNOWN_LOCAL_ARB,C0,candidate-local computation unknown without search prerequisites,C0_UNKNOWN_LOCAL,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,ARBITRATION,NONE,false,true,false,no free pass,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,C0,guard_c0_unknown_local_arb,C0_UNKNOWN_LOCAL,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,C0Admission.evaluate,EXACTLY_ONCE
C0_UNKNOWN_GLOBAL,C0,actuator/map/time authority unresolved,C0_UNKNOWN_GLOBAL,GLOBAL_AUTHORITY_OR_EVIDENCE,ANY,ANY,PRIMARY_OR_ALTERNATIVE,ARBITRATION,NONE,false,true,false,candidate change cannot repair global authority,F_ACTUATOR_AUTHORITY_UNRESOLVED,C0,guard_c0_unknown_global,C0_UNKNOWN_GLOBAL,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_ACTUATOR_AUTHORITY_UNRESOLVED,C0Admission.evaluate,EXACTLY_ONCE
