factor_id,verdict,evidence_classes,confidence,effect_direction,actionable,method_change,evaluation_change,new_data_needed,load_bearing_files
F01,PARTIALLY_SUPPORTED,E1_REANALYSIS_OF_FROZEN_RECORDS|E5_DATA_AVAILABILITY_AUDIT,MEDIUM,limits_interpretability_or_reachability,not_before_ranking,False,True,False,protocol-named factor directory
F02,DATA_BLOCKED,E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,LOW,limits_interpretability_or_reachability,not_before_ranking,False,False,True,protocol-named factor directory
F03,STRUCTURAL_FACT,E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC,HIGH,limits_interpretability_or_reachability,evaluation_change,False,True,False,protocol-named factor directory
F04,SUPPORTED_CONTRIBUTING,E2_SHADOW_DIAGNOSTIC,HIGH,limits_interpretability_or_reachability,conceptual_design_review,True,False,False,protocol-named factor directory
F05,NOT_SUPPORTED,E2_SHADOW_DIAGNOSTIC,MEDIUM,limits_interpretability_or_reachability,not_before_ranking,False,False,False,protocol-named factor directory
F06,NOT_IDENTIFIABLE,E3_BOUNDED_APPROXIMATE_ORACLE,LOW,limits_interpretability_or_reachability,not_before_ranking,False,False,False,protocol-named factor directory
F07,DATA_BLOCKED,E5_DATA_AVAILABILITY_AUDIT,LOW,limits_interpretability_or_reachability,not_before_ranking,False,True,True,protocol-named factor directory
F08,STRUCTURAL_FACT,E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE,MEDIUM,limits_interpretability_or_reachability,not_before_ranking,False,False,False,protocol-named factor directory
F09,PARTIALLY_SUPPORTED,E1_REANALYSIS_OF_FROZEN_RECORDS|E5_DATA_AVAILABILITY_AUDIT,MEDIUM,limits_interpretability_or_reachability,not_before_ranking,False,False,True,protocol-named factor directory
F10,SUPPORTED_CONTRIBUTING,E1_REANALYSIS_OF_FROZEN_RECORDS|E5_DATA_AVAILABILITY_AUDIT,MEDIUM,limits_interpretability_or_reachability,evaluation_change,False,True,True,protocol-named factor directory
F11,NOT_SUPPORTED,E0_FROZEN_FORMAL_EVIDENCE|E2_SHADOW_DIAGNOSTIC,HIGH,limits_interpretability_or_reachability,not_before_ranking,False,False,False,protocol-named factor directory
