id,baseline,availability,fulltext,official_code_checked,fairness_requirement,candidate_relevance,source
2209.12266,NeRF-CBF: Safety- and Stability-Critical Control with Neural Radiance Fields,fair reimplementation from paper only,FAIL,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Precursor for implicit-map safety control,https://arxiv.org/abs/2209.12266
2304.00194,Safe Perception-Based Control under Stochastic Sensor Uncertainty using Conformal Prediction,fair reimplementation from paper only,PASS,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,High for D3/D8 calibration semantics,https://arxiv.org/abs/2304.00194
2309.08050,Robust Control Barrier Functions for Sampled-Data Systems,fair reimplementation from paper only,PASS,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Theory baseline for D1/D4,https://arxiv.org/abs/2309.08050
2403.02751,Splat-Nav: Safe Real-Time Robot Navigation in Gaussian Splatting Maps,official code checked,PASS,PASS,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Strong navigation baseline for D2/D5/D7,https://arxiv.org/abs/2403.02751
2405.00362,Implicit Swept Volume SDF: Enabling Continuous Collision-Free Trajectory Generation for Arbitrary Shapes,official code checked,PASS,PASS,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Strong geometric baseline for D2,https://arxiv.org/abs/2405.00362
2405.10142,GS-Planner: A Gaussian-Splatting-based Planning Framework for Active High-Fidelity Reconstruction,fair reimplementation from paper only,PASS,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Baseline for planning/active mapping,https://arxiv.org/abs/2405.10142
2409.09868,A Control Barrier Function for Safe Navigation with Online Gaussian Splatting Maps,official code checked,PASS,PASS,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Direct baseline and origin of current work,https://arxiv.org/abs/2409.09868
2409.16915,Let's Make a Splan: Risk-Aware Trajectory Optimization in a Normalized Gaussian Splat,fair reimplementation from paper only,PASS,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Strong D2/D5/D6 overlap,https://arxiv.org/abs/2409.16915
2407.03569,Adaptive Conformal Safety Control,fair reimplementation from paper only,FAIL,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Calibration baseline for D3/D8,https://arxiv.org/abs/2407.03569
2505.08510,FOCI: Trajectory Optimization on Gaussian Splats,official code checked,PASS,PASS,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,High D2/D5 overlap,https://arxiv.org/abs/2505.08510
2509.14421,Perception-Integrated Safety Critical Control via Analytic Collision Cone Barrier Functions on 3D Gaussian Splatting,fair reimplementation from paper only,PASS,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Very high D2/D5 overlap,https://arxiv.org/abs/2509.14421
2604.18205,A Comparative Evaluation of Geometric Accuracy in NeRF and Gaussian Splatting,fair reimplementation from paper only,PASS,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Measurement baseline for D7,https://arxiv.org/abs/2604.18205
2605.20566,Conflict-Aware Active Perception and Control in 3D Gaussian Splatting Fields via Control Barrier Functions,fair reimplementation from paper only,PASS,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,High D3/D8 overlap,https://arxiv.org/abs/2605.20566
2605.30342,Uncertainty-driven 3D Gaussian Splatting Active Mapping via Anisotropic Visibility Field,fair reimplementation from paper only,PASS,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,High D3/D8 map-confidence overlap,https://openaccess.thecvf.com/content/CVPR2026/html/Xue_Uncertainty-driven_3D_Gaussian_Splatting_Active_Mapping_via_Anisotropic_Visibility_Field_CVPR_2026_paper.html
2606.00297,Predicted-Flow Control Barrier Functions for Real-Time Safe Optimal Control,official code checked,PASS,PASS,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,High D4/D5 overlap,https://arxiv.org/abs/2606.00297
2607.01200,FastBridge: Closing the Model-Based Realization Gap in Safety Filters on 3D Gaussian Splatting for Fast Quadrotor Flight,fair reimplementation from paper only,PASS,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,Most direct D1/D4 competitor and high D5 overlap,https://arxiv.org/abs/2607.01200
2607.08948,SplatCtrl: Perception-Action Coupling via Gaussian Scene Representations and Reactive Robot Control,fair reimplementation from paper only,PASS,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,High D5/D8 overlap,https://arxiv.org/abs/2607.08948
2603.10392,Safe Probabilistic Planning using Conformal Risk Control,fair reimplementation from paper only,FAIL,FAIL,Requires frozen map/input/runtime normalization; no author result may be copied as our outcome,D3/D8 statistical baseline,https://arxiv.org/abs/2603.10392
