factor_id,verdict,rationale
F01,PARTIALLY_SUPPORTED,Formal records cover represented-map states but not frozen on-policy/deployment evidence; two source-map environments lack physical reference.
F02,DATA_BLOCKED,Zero-velocity E5/E6 states cannot receive artificial velocity; no frozen tracking-error budget exists. Endpoint-only OAT shadows are not activation evidence.
F03,STRUCTURAL_FACT,"B0 left-truncated all E5 and 74/100 E6 states before B1/B2/B3; this establishes gating reachability, not a rescue."
F04,SUPPORTED_CONTRIBUTING,The frozen position-first model exactly gives p(tau)=p+tau*v and dp(tau)/du=0 over the immediate interval; control first changes the next horizon.
F05,NOT_SUPPORTED,All 32 Replica atomic witnesses passed; E5 and most E6 selected states were not reachable after the current gate. No isolated B2 atomic failure explains the zero increments.
F06,NOT_IDENTIFIABLE,All 80 finite-set states were either B2-primary committed (22) or candidate-independently precluded by negative current-map h (58); no B3 coverage opportunity was reached.
F07,DATA_BLOCKED,Static assets contain no frozen on-policy/intermediate logs; registry representativeness beyond its sampling contract cannot be established.
F08,STRUCTURAL_FACT,"Decision, certificate, availability, lead-time, backup-margin, and cost metrics separate quantities; all formal incremental action changes were zero."
F09,PARTIALLY_SUPPORTED,Replica has frozen physical-reference evidence; Stonehenge/Flight are source Gaussian behavior-only and cannot sustain physical-clearance claims.
F10,SUPPORTED_CONTRIBUTING,"Zero events in 100/160 states leave nonzero 95% one-sided rates, and downstream E5/E6 denominators are 0/26 rather than 100."
F11,NOT_SUPPORTED,All 768 double-replay method records matched frozen formal semantics; formula and protected-record checks passed.
