L1_actuator_only,L2_plus_immediate_segment,L3_plus_braking_segments,L4_plus_terminal_velocity_membership,L5_plus_terminal_current_and_zero_hold,actuator_pass,braking_all_pass,braking_segment_count,current_pass,environment,first_failure,h_stop,immediate_segment_pass,note,state_id,status,terminal_current_and_zero_hold_pass,terminal_membership_pass,zero_hold_segment_pass
True,True,True,True,True,True,True,8,True,E1_REPLICA_GT_FINE,NONE,6,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,3,True,E1_REPLICA_GT_FINE,NONE,1,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,20,True,E1_REPLICA_GT_FINE,NONE,18,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,22,True,E1_REPLICA_GT_FINE,NONE,20,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,18,True,E1_REPLICA_GT_FINE,NONE,16,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,3,True,E1_REPLICA_GT_FINE,NONE,1,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,18,True,E1_REPLICA_GT_FINE,NONE,16,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,18,True,E1_REPLICA_GT_FINE,NONE,16,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,8,True,E1_REPLICA_GT_FINE,NONE,6,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,22,True,E1_REPLICA_GT_FINE,NONE,20,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,22,True,E1_REPLICA_GT_FINE,NONE,20,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,8,True,E1_REPLICA_GT_FINE,NONE,6,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,12,True,E1_REPLICA_GT_FINE,NONE,10,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",18437ce3de5c711fae787001a565271d8ecfeeca74866ca2d0b6528537d04b1a,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,3,True,E1_REPLICA_GT_FINE,NONE,1,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",18dedde110ff0022e2bbafe7e5de5fd783c0177fca853e229ad9b409122e5feb,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,3,True,E1_REPLICA_GT_FINE,NONE,1,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",1ab9bff8b0aedb780f43ffc4b307d88a410cad36aa000e68784a86e995618db8,ATOMIC_DIAGNOSTIC,True,True,True
True,True,True,True,True,True,True,3,True,E1_REPLICA_GT_FINE,NONE,1,True,"L1-L5 are atomic diagnostic projections, never a controller or method variant.",1b47d079ce1fdb039c02ee650d45faf683d1f0c02d701e68e9ce04f3f02032b4,ATOMIC_DIAGNOSTIC,True,True,True
