scenario_id,scenario,selected_architecture,expected_session,expected_typed_class,plant_replay,oracle_eligible,runtime_execution
TCC-SC-01,primary commit complete,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-02,backup commit complete,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-03,terminal commit complete,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-04,boundary complete,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-05,preplant validation failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-06,plant committed false,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-07,plant authority exception before attempt,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-08,plant outcome unresolved,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-09,primary token prepare failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-10,primary token activate failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-11,backup token consume failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-12,trace append failure after primary commit,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-13,trace append failure after backup commit,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-14,trace append failure after terminal commit,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-15,boundary trace append failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-16,finalize success memory-only,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-17,finalize write runtime trace failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-18,finalize lock write failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-19,finalize retry same content,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-20,finalize retry changed content rejected,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-21,run after trace incomplete rejected,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-22,run after token incomplete rejected,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-23,run after plant unresolved rejected,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-24,run after finalization failed rejected,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-25,append after finalization failed rejected,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-26,selected executed identity exact,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-27,receipt retained after append failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-28,post-state retained after append failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-29,no token rollback on trace failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-30,no plant replay on recovery,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-31,oracle rejects trace incomplete,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-32,oracle rejects finalize incomplete,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
