component,current behavior,required behavior,source file,expected code owner,policy change? YES/NO,arithmetic identity change? YES/NO,evidence schema change? YES/NO,test obligation
canonical transition service,no single execution-equivalent pure primitive,add pure device-aware T_exec and T_pos_exec,reproduction/runtime/v3 hard-radius implementation boundary,runtime infrastructure owner,NO,YES,YES,PO1 PO2 PO3
RuntimeStateSnapshot,serialized realized tuple without canonical arithmetic lineage,bind transition and serialization lineage,reproduction/runtime/active_runtime_assurance_v2/runtime_types.py,runtime types owner,NO,NO,YES,PO4 PO10
PlantCommitAdapter,owns commit and calls default or injected transition,consume shared T_exec inside unchanged sole commit boundary,reproduction/runtime/active_runtime_assurance_v2/plant_commit.py,plant authority owner,NO,YES,YES,PO1 PO7
L1Runtime,constructs p plus dt times v in host arithmetic,use T_pos_exec and prove action independence,reproduction/runtime/active_runtime_assurance_v2/l1_runtime.py,L1 certificate owner,NO,YES,YES,PO2 PO4 PO5
L2Runtime,constructs one/two-step endpoints with host closed form,use sequential T_exec then T_pos_exec,reproduction/runtime/active_runtime_assurance_v2/l2_runtime.py,L2 certificate owner,NO,YES,YES,PO3 PO4 PO5
normative dynamics adapter,projects transition/endpoints independently in host arithmetic,delegate authoritative runtime propagation to canonical service,shared normative dynamics adapter,normative dynamics owner,NO,YES,YES,PO1 PO4 PO5
SweptSegmentCertifier,consumes endpoints from configured dynamics,consume canonical endpoint identities,shared swept-segment certifier,certificate backend owner,NO,YES,YES,PO5
L3 witness builder,delegates candidate/tail certification without canonical lineage,require canonical witness and bundle lineage,runtime L3 witness factory,L3 owner,NO,YES,YES,PO5 PO6
BackupCertifier,repeats transition and segment construction,propagate every state sequentially with T_exec,shared backup certifier,backup certificate owner,NO,YES,YES,PO5 PO6
PreparedBackupBundle,stores tail and authority references without arithmetic lineage,store dtype/device/timebase and per-step state/action/segment identities,reproduction/runtime/active_runtime_assurance_v2/runtime_types.py,runtime types owner,NO,NO,YES,PO6
BackupTokenStore,validates snapshot and cursor under existing identity fields,validate canonical expected-state lineage and fail closed,reproduction/runtime/active_runtime_assurance_v2/backup_token_store.py,backup token owner,NO,NO,YES,PO6
TerminalCertifier,uses zero-hold swept segment through configured dynamics,use canonical endpoint lineage,shared terminal certifier,terminal certificate owner,NO,YES,YES,PO5 PO7
TerminalRuntime,routes membership/backend evidence without arithmetic,require canonical backend evidence and preserve routed-only policy,reproduction/runtime/active_runtime_assurance_v2/terminal_runtime.py,terminal runtime owner,NO,NO,YES,PO5 PO7
StartAdmission,current-state query only,bind canonical serialized current-state identity without predictive arithmetic,reproduction/runtime/active_runtime_assurance_v2/start_admission.py,start admission owner,NO,NO,YES,PO10
ActiveCycleCoordinator,propagates typed stage evidence,propagate MATCH/MISMATCH to existing Supervisor without selecting action,reproduction/runtime/active_runtime_assurance_v2/active_cycle.py,orchestration owner,NO,NO,YES,PO7 PO10
TraceWriter,records resolved outcome without canonical transition lineage,record canonical identities match status and completeness,reproduction/runtime/active_runtime_assurance_v2/trace_writer.py,trace owner,NO,NO,YES,PO10
V3 stack factory,projects geometry and assembles dependencies,construct and inject exactly one T_exec instance,reproduction/runtime/v3_hard_radius_runtime_wiring_v1/stack_factory.py,V3 composition owner,NO,YES,YES,PO7 PO8
archived offline validator,no canonical four-case validation,check trials 22/28/57/59 without rollout or outcome rewrite,task-local future validation path,validation owner,NO,NO,YES,PO4 PO9
