rule_id,source_phase,frozen_observation,frozen_guard,frozen_destination,runtime_destination,destination_path,destination_verdict,frozen_commit,runtime_commit,metadata_verdict,missing_metadata,implementation_status
SA_SAFE,START_ADMISSION,INITIAL_SAFE,initial full-query admission,RUNTIME_CURRENT_ROLE,RUNTIME_CURRENT_ROLE,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
SA_REPAIR,START_ADMISSION,INITIAL_REPAIR_REQUIRED,initial state needs lawful repair,REPAIR,REPAIR,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
REPAIR_PASS,REPAIR,REPAIR_PASS,repaired state receives full re-certification,RUNTIME_CURRENT_ROLE,RUNTIME_CURRENT_ROLE,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
REPAIR_FAIL,REPAIR,REPAIR_FAIL,repair or recertification fails,ASSURANCE_BOUNDARY,ASSURANCE_BOUNDARY,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
REPAIR_UNKNOWN,REPAIR,REPAIR_UNKNOWN,repair evidence unresolved,ASSURANCE_BOUNDARY,ASSURANCE_BOUNDARY,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
R0_DIAGNOSTIC,RUNTIME_CURRENT_ROLE,R0_DIAGNOSTIC_COMPLETE,R0 has no independent hard-gate authority,L1,L1,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L1_PASS,L1,L1_PASS,closed immediate segment certified,PRIMARY_PROPOSAL,PRIMARY_PROPOSAL,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L1_FAIL,L1,L1_FAIL,candidate-independent immediate segment unsafe,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L1_UNKNOWN_GLOBAL,L1,L1_UNKNOWN_GLOBAL,map or authority evidence unresolved,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L1_UNKNOWN_HEALTH,L1,L1_UNKNOWN_HEALTH,query health unresolved,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L1_UNKNOWN_UNRESOLVED,L1,L1_UNKNOWN_UNRESOLVED,scope cannot be classified,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
