metric_name,measures,does_not_measure,depends_on_coverage_mask,depth_weighting_or_support_sensitive,pixel_weighted,may_be_dominated_by_large_frames_groups,distinguishes_dangerous_overestimate,can_detect_thin_obstacle,can_detect_contiguous_missing_wall,can_identify_unknown,robot_geometry_linked,renderer_semantics_dependent,single_failure_implies_not_navigable,single_pass_implies_safe,cross_dataset_comparable
coverage,accepted reference support,correctness and free-space truth,True,True,True,True,False,False,False,True,False,False,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
renderer_acceptance_alpha,renderer support at a working point,calibrated occupancy/correctness probability,False,False,False,False,False,False,False,True,False,False,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
AbsRel,relative accepted-pixel depth error,missing geometry and route clearance,True,True,True,True,False,False,False,False,False,False,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
delta1,fraction of accepted depth ratios within 1.25,spatial continuity and safety margin,True,True,True,True,False,False,False,False,False,False,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
median_depth_ratio,central multiplicative depth bias,"tails, gaps, and local false-free errors",True,True,True,True,False,False,False,False,False,False,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
PSNR_SSIM_LPIPS,appearance fidelity,metric obstacle clearance,True,True,True,True,False,False,False,False,False,False,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
point_to_mesh,surface proximity under chosen direction,free-space overestimation unless one-sided,False,False,False,False,True,True,True,False,False,False,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
accuracy_completeness_F,multi-tolerance bidirectional surface support,robot-conditioned risk,False,False,False,False,True,True,True,False,False,False,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
one_sided_clearance,dangerous distance overestimation,unobserved space outside reference domain,False,False,False,False,True,True,True,False,True,False,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
false_free,map-free claim conflicting with obstacle reference,safety outside sampled/query domain,False,False,False,False,True,True,True,True,True,False,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
G0,static query and numerical compatibility,closed-loop navigation,False,False,False,False,False,False,False,False,True,True,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
route_success_progress,outcome under one frozen route/controller,global reconstruction quality,False,False,False,False,True,True,True,True,True,True,False,False,ONLY_WITH_MATCHED_FORMULA_SUPPORT_REFERENCE_AND_AGGREGATION
