target_path,change,module_responsibility,frozen_contract_source,allowed_imports,forbidden_imports,writes_plant,owns_selection,owns_authority,emits_trace,test_target
reproduction/runtime/active_runtime_assurance_v2/authority_registry.py,NEW,AuthorityRegistry,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_authority_registry.py
reproduction/runtime/active_runtime_assurance_v2/runtime_types.py,NEW,immutable typed identities/results/events,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_runtime_types.py
reproduction/runtime/active_runtime_assurance_v2/start_admission.py,NEW,I0a and optional lawful I0b coordination,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_start_admission.py
reproduction/runtime/active_runtime_assurance_v2/diagnostic_r0.py,NEW,non-gating R0 diagnostics,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_diagnostic_r0.py
reproduction/runtime/active_runtime_assurance_v2/l1_runtime.py,NEW,single cycle L1 result and attempt bindings,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_l1_runtime.py
reproduction/runtime/active_runtime_assurance_v2/primary_proposal_adapter.py,NEW,PD/Clarabel proposal adapter,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_primary_proposal_adapter.py
reproduction/runtime/active_runtime_assurance_v2/c0_admission.py,NEW,finite and inclusive actuator admission,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_c0_admission.py
reproduction/runtime/active_runtime_assurance_v2/l2_runtime.py,NEW,V2 authority-injected H1 certification,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_l2_runtime.py
reproduction/runtime/active_runtime_assurance_v2/l3_runtime.py,NEW,candidate recoverability bundle preparation,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_l3_runtime.py
reproduction/runtime/active_runtime_assurance_v2/alternative_provider.py,NEW,lawful native-existing alternative enumeration,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_alternative_provider.py
reproduction/runtime/active_runtime_assurance_v2/backup_token_store.py,NEW,atomic retained token lifecycle,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_backup_token_store.py
reproduction/runtime/active_runtime_assurance_v2/terminal_runtime.py,NEW,certified eligible terminal preparation,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_terminal_runtime.py
reproduction/runtime/active_runtime_assurance_v2/deadline_runtime.py,NEW,deadline observation under Supervisor ownership,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,NO,tests/test_deadline_runtime.py
reproduction/runtime/active_runtime_assurance_v2/supervisor.py,NEW,state machine and sole arbitration,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,YES,YES,YES,tests/test_supervisor.py
reproduction/runtime/active_runtime_assurance_v2/plant_commit.py,NEW,identity guard and sole dynamics commit,PR107-PR114,runtime_types; frozen authority adapters; dynamics.systems,posthoc evaluation oracle; V1 0.11 margin loader,YES,NO,YES,YES,tests/test_plant_commit.py
reproduction/runtime/active_runtime_assurance_v2/trace_writer.py,NEW,append-only runtime trace and canonical final lock,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,YES,tests/test_trace_writer.py
reproduction/runtime/active_runtime_assurance_v2/active_runner.py,NEW,composition root and trial lifecycle,PR107-PR114,runtime_types; frozen authority adapters,posthoc evaluation oracle; V1 0.11 margin loader,NO,NO,NO,YES,tests/test_active_runner.py
