component,path_or_owner,current_construction,current_numeric_contract,safety_authority,migration_requirement,identity_requirement
PlantCommitAdapter,reproduction/runtime/active_runtime_assurance_v2/plant_commit.py,_reference_transition or injected transition,torch.float32 execution graph,plant side-effect authority,consume shared pure T_exec without changing commit ownership,transition arithmetic+dtype/device+dt+serialization
GPU plant wrapper,reproduction/smoke/active_runtime_smoke_v2/run_active_runtime_smoke_v2.py::plant_transition,injected CUDA transition,torch.float32 CUDA,actual experiment execution,replace duplicate arithmetic with shared T_exec adapter,exact backend/device identity
RuntimeStateSnapshot,reproduction/runtime/active_runtime_assurance_v2/runtime_types.py::RuntimeStateSnapshot.create,serialized realized tuple,Python scalar tuple,identity authority,augment canonical transition lineage without semantic drift,state+transition+serialization identity
L1Runtime,reproduction/runtime/active_runtime_assurance_v2/l1_runtime.py::evaluate_cycle,p+dt*v,host binary64,safety certificate,replace with T_pos_exec and prove action independence,source/end arithmetic identity
L2Runtime,reproduction/runtime/active_runtime_assurance_v2/l2_runtime.py::evaluate,p+dt*v and p+2dt*v+dt^2*u,host binary64,safety certificate,replace with sequential T_exec/T_pos_exec,source+action+p_k1+p_k2 identities
Normative dynamics transition,reproduction/runtime/active_runtime_assurance_v2/normative dynamics adapter::transition,position-first Euler projection,host binary64,backup/terminal safety,delegate to shared T_exec,arithmetic+state+action identity
Normative segment endpoints,reproduction/runtime/active_runtime_assurance_v2/normative dynamics adapter::segment_endpoints,p to p+dt*v,host binary64,swept certificate,delegate to bitwise-proven canonical projection,start/end identity
Normative interval state,reproduction/runtime/active_runtime_assurance_v2/normative dynamics adapter::interval_state,continuous-time projection,host binary64,conservative backend support,audit and migrate every runtime safety use or mark non-authoritative,time parameter+arithmetic identity
SweptSegmentCertifier,shared safety-certifier segment backend,dynamics.segment_endpoints,delegated current dynamics,safety certificate,consume canonical endpoint provider,canonical segment identity
L3Runtime,reproduction/runtime/active_runtime_assurance_v2/l3_runtime.py,witness builder delegation,delegated,safety certificate,require witness and bundle canonical identities,candidate+L2+bundle continuity identities
BackupCertifier,shared safety-certifier backup backend,repeated transition and segment construction,delegated current dynamics,safety certificate,replace every propagated state with sequential T_exec,per-step state/action/segment identity
PreparedBackupBundle,reproduction/runtime/active_runtime_assurance_v2/runtime_types.py::PreparedBackupBundle.create,tail plus authority references,identity metadata,commit eligibility evidence,add arithmetic/dtype/device/timebase and per-step lineage identities,bundle lineage identity
BackupTokenStore,reproduction/runtime/active_runtime_assurance_v2/backup_token_store.py,validate expected snapshot and cursor,stored identity contract,retained fallback authority,validate canonical expected state lineage and fail closed on mismatch,token expected/actual/cursor identities
TerminalCertifier,shared safety-certifier terminal backend,zero-hold segment through swept certifier,delegated current dynamics,safety certificate,consume shared canonical endpoint construction,state+terminal action+segment identity
TerminalRuntime,reproduction/runtime/active_runtime_assurance_v2/terminal_runtime.py,membership plus backend evaluation,no independent state propagation,routing evidence,no arithmetic rewrite; require canonical backend evidence identity,terminal evidence lineage
StartAdmission,reproduction/runtime/active_runtime_assurance_v2/start_admission.py,current-state map query,no prediction,start authority,no arithmetic migration; bind canonical serialized current-state identity,current state+map identity
ActiveCycleCoordinator,reproduction/runtime/active_runtime_assurance_v2/active_cycle.py,typed stage orchestration,no direct arithmetic,routing handoff,propagate mismatch as typed event only; no policy ownership,cycle state/certificate/mismatch identities
TraceWriter,reproduction/runtime/active_runtime_assurance_v2/trace_writer.py,append cycle outcome,current trace schema,evidence authority,add canonical transition and match/completeness fields,commit/trace/state/action/segment identity
V3 stack factory,reproduction/runtime/v3_hard_radius_runtime_wiring_v1/stack_factory.py,geometry projection and stack assembly,no future-state arithmetic,dependency composition,inject one shared T_exec instance without radius-policy change,stack transition identity
