evidence,role,what_it_proves,what_it_does_not_prove
Start-Safe Flight100,L0 admission/repair,"92 safe, 8 repair-needed and 8 successful",not per-step candidate efficacy
projection synthetic120,L0 repair/projection,projection can be proposed and verified,active set alone is not full certificate
dense DT H1/H2/H3 violations,L1 sampled-data diagnostics,horizon distinction and violation diagnostics,not candidate future authority
V4-B 0 success,late-intervention boundary,negative boundary evidence,not universal failure
TUM step772 shadow prediction,authority-aware shadow diagnostic,prediction boundary evidence,not a formal method run
H3_N128 recovery,L3/L5 recovery witness history,finite recovery configuration evidence,not universal recoverability
H2_N64 recovery,L3/L5 recovery witness history,finite recovery configuration evidence,not universal recoverability
HCE held-out,recovery acceleration,search acceleration evidence,not enlarged recoverable set
Stonehenge Risk-Aware bestD,reference/map limitation,behavior-only map boundary,not physical clearance
PR87 G0-G5,activated mechanism roles,G1 L1 difference; G3 library hit rescue,not representative prevalence or coverage
PR87 representative160,evaluation prevalence,zero incremental changes on frozen cohort,not no possible activation
PR89 E1/E5/E6,L0 truncation/evaluation boundary,E5/E6 left truncation and behavior-only scope,not downstream mechanism failure
PR90 F01-F11,causal limitation taxonomy,F03/F04 structural role evidence,not a new method result
