evidence_id,class,result_type,summary,boundary
E01_ETH3D_PR80,structural,formal,One learned 3DGS map passed minimum controller viability; its PR80 stress registry did not activate all modules.,Learned-map deployment safety or Full FAS-CBF superiority.
E02_ETH3D_PR81,structural,structural,The preregistered strict endpoint-unsafe/QP-feasible H3 stratum was unavailable under this frozen ETH3D contract.,DT verification does not exist or is ineffective.
E03_REPLICA_PR65,structural,formal,All methods completed all 99 map-admissible routes with zero official-mesh collisions; module activations are observable on a clean GT-derived Gaussian map.,Statistical safety superiority or learned-map evidence.
E04_STARTGUARD_TRIAL57,negative,case study,The original unsafe start and its negative h remain preserved.,Post-repair navigation is original benchmark superiority.
E05_STARTGUARD_FLIGHT100,positive,active validation,"In this frozen flight100 setting, StartGuard identified 8 repair-needed starts and repaired all 8; post-repair navigation is reported separately.",Original benchmark safety improvement or universal start repair.
E06_ACTIVE_PROJECTION,positive,active validation,All 8 active-set repairs were full-query verified; the post-repair 100-trial navigation had zero collisions and no QP infeasibility.,A general CBF theorem or original-flight superiority.
E07_SYNTHETIC_START_STRESS,positive,synthetic stress,Verified projection repaired and full-query verified all 120 constructed states under this synthetic protocol.,Official benchmark-start performance.
E08_RISK_AWARE_STONEHENGE,positive,formal efficiency,Risk-Aware V1 bestD reduced active constraints and mean runtime while preserving collision and progress in Stonehenge formal100.,A universal safety or progress improvement.
E09_RISK_AWARE_FLIGHT,positive,formal efficiency,The report supports efficiency improvement on flight while preserving progress within its stated rule.,Cross-scene robustness or safety improvement; both variants retain trial57 collision.
E10_FORCED_DOMINANCE,negative,diagnostic,"Forced candidates dominated the final union, limiting observed candidate-count benefit in this implementation.",Adaptive V1 efficiency benefit or a safety conclusion.
E11_DT_DETECTION,positive,detection audit,DT verification detected 463/488/519 H1/H2/H3 sampled-data margin risks while collision count remained zero.,Margin risk is collision or DT universally prevents collision.
E12_V4B_NEGATIVE,negative,negative ablation,"Under the frozen Euler double-integrator, acceleration-only one-step correction did not change immediate position-margin violations.",All corrective DT control is impossible.
E13_V4C_H3,positive,active validation,"H3_N128 eliminated the 236 observed H-step margin violations in this dense-flight full100 configuration, with zero recovery failures.",Collision superiority or a low-overhead default controller.
E14_V4C_TUNED_H2,positive,configuration-specific validation,The tuned H2_N64 configuration eliminated its 193 observed H-step violations with lower runtime than H3_N128 in dense flight.,Untuned or universal recovery superiority.
E15_HCE_HELDOUT,positive,held-out efficiency,"HCE reduced activated median runtime on its held-out activated cohort without progress, safety, or feasibility regression; it preserved Stage-B failures.",New recovery capability or universal runtime gain.
E16_TRIAL20_BOUNDARY,negative,structural boundary,The current local recovery contract was exhausted for the 34 trial20 activations.,Universal uncontrollability.
E17_TUM_DT_FORENSICS,positive,event precursor,At step 772 the shadow H1/H2/H3 checks predicted the later GSplat overlap proxy event.,Shadow audit avoided the event or proves mesh-collision safety.
E18_TUM_V4C_INTERVENTION,positive,bounded proof-of-mechanism,A strict H3-triggered V4-C intervention avoided float32 GSplat overlap in the bounded development and held-out cases described by the report.,"Goal-completion superiority, general safety, or official-mesh collision avoidance."
