evidence_id,core_role,activity,map_role,status,source_sha256,allowed_claim,prohibited_claim
E01_ETH3D_PR80,integration boundary,formal,LEARNED_3DGS,STRUCTURAL_LIMIT,44035feae65f89ccf8b146fe29c26f81dd9388098e7d0bd66716d632e8422767,One learned 3DGS map passed minimum controller viability; its PR80 stress registry did not activate all modules.,Learned-map deployment safety or Full FAS-CBF superiority.
E02_ETH3D_PR81,structural boundary,shadow,LEARNED_3DGS,STRUCTURAL_LIMIT,d1dd5e2a6ea7dee34daf8c346938f4848ec12f2c70ba0948b56ca8a451ee62d5,The preregistered strict endpoint-unsafe/QP-feasible H3 stratum was unavailable under this frozen ETH3D contract.,DT verification does not exist or is ineffective.
E03_REPLICA_PR65,integration boundary,formal,GT_DERIVED_GAUSSIAN,STRUCTURAL_LIMIT,1ddf9767c2cd199d001cd587d6c0588093a89ab027dfb484e91805a7537350c1,All methods completed all 99 map-admissible routes with zero official-mesh collisions; module activations are observable on a clean GT-derived Gaussian map.,Statistical safety superiority or learned-map evidence.
E04_STARTGUARD_TRIAL57,initial admission,active,OFFICIAL_SAFER_MAP,NEGATIVE_BOUNDARY,a6143eecdb3f824426818fba325d3e996efbd267bd882074d44f19c80c16069d,The original unsafe start and its negative h remain preserved.,Post-repair navigation is original benchmark superiority.
E05_STARTGUARD_FLIGHT100,initial admission,active,OFFICIAL_SAFER_MAP,SUPPORTED_CONFIGURATION_SPECIFIC,80e3746c0e493a2b47a7c66f14615867798df0a048237ceae165f24b69c0b7e3,"In this frozen flight100 setting, StartGuard identified 8 repair-needed starts and repaired all 8; post-repair navigation is reported separately.",Original benchmark safety improvement or universal start repair.
E06_ACTIVE_PROJECTION,initial admission,active,OFFICIAL_SAFER_MAP,SUPPORTED_CONFIGURATION_SPECIFIC,c294394acf61e7a29f2d1be8dcd6d5788c70f49558f8a61a8b81c72989d54162,All 8 active-set repairs were full-query verified; the post-repair 100-trial navigation had zero collisions and no QP infeasibility.,A general CBF theorem or original-flight superiority.
E07_SYNTHETIC_START_STRESS,initial admission,static,OFFICIAL_SAFER_MAP,SUPPORTED_CONFIGURATION_SPECIFIC,9efa6555c40753166deb81c7cd531a747aa0778e380da7685bfe5f76d3f426a5,Verified projection repaired and full-query verified all 120 constructed states under this synthetic protocol.,Official benchmark-start performance.
E08_RISK_AWARE_STONEHENGE,efficiency,formal,OFFICIAL_SAFER_MAP,SUPPORTED_CONFIGURATION_SPECIFIC,d03ab0fd0dc8241e145e9979d0f70a7d659146120f55e1747583ea0fd2d1255c,Risk-Aware V1 bestD reduced active constraints and mean runtime while preserving collision and progress in Stonehenge formal100.,A universal safety or progress improvement.
E09_RISK_AWARE_FLIGHT,efficiency,formal,OFFICIAL_SAFER_MAP,SUPPORTED_CONFIGURATION_SPECIFIC,5a654465a0c184df3c49cb68d670a3c3d2fcfac18b706ae880a6d53a48f9a800,The report supports efficiency improvement on flight while preserving progress within its stated rule.,Cross-scene robustness or safety improvement; both variants retain trial57 collision.
E10_FORCED_DOMINANCE,actuator-feasible boundary,diagnostic,OFFICIAL_SAFER_MAP,NEGATIVE_BOUNDARY,17e45a6c1178d6b70bdd523c5f8df998f49b9b1e364a1bf642b4d443f1885421,"Forced candidates dominated the final union, limiting observed candidate-count benefit in this implementation.",Adaptive V1 efficiency benefit or a safety conclusion.
