factor_id,required_evidence,allowed_evidence_classes,prohibited_inference
F01,E1 reanalysis plus E5 asset audit,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,No physical-danger claim for behavior-only maps.
F02,E4 one-factor-at-a-time shadow regimes,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,No deployment or formal-performance claim.
F03,E1 funnel plus E2 independent-gate shadow,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,No shadow control is a committed action.
F04,E2 S0-S3 same-dynamics shadow,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,S2/S3 are not a Core V1 replacement.
F05,E2 atomic decomposition and L1-L5,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,Leave-one-out is not a new method.
F06,E3 GRID7+SOBOL512 over C0/C1,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,No continuous control-space conclusion.
F07,E5 asset inventory and read-only comparison,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,No initial-state-to-deployment inference.
F08,E1/E2/E3 metric taxonomy,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,Certificate gain is not behavioral gain.
F09,E5 representation/readiness audit,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,Proxy clearance is not physical clearance.
F10,E1 binomial/cluster/conditional analysis,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,Do not pool the 360 states.
F11,E0 hashes plus deterministic replays/formula checks,E0_FROZEN_FORMAL_EVIDENCE|E1_REANALYSIS_OF_FROZEN_RECORDS|E2_SHADOW_DIAGNOSTIC|E3_BOUNDED_APPROXIMATE_ORACLE|E4_COUNTERFACTUAL_REGIME_DIAGNOSTIC|E5_DATA_AVAILABILITY_AUDIT,Any semantic mismatch forces Case G.
