direction,reviewer_role,score_1_10,recommendation,fatal_concern,required_evidence,independence_control
D0,novelty,6,BORDERLINE,"Without new measurement questions and reusable artifacts, this is an internal audit.","Formal evaluation questions, claim-evidence table, protocol/artifact release, and explicit comparison with prior evaluation scopes.",final recommendation withheld
D0,theory,6,WEAK_ACCEPT,Fatal if the package is only retrospective synthesis or uses certified-safe language.,"Denominators and intervals, claim/nonclaim table, formal obligation taxonomy, deadline tails, and artifact release.",final recommendation withheld
D0,systems,8,ACCEPT,Fatal if the audit artifacts and questions are not independently useful.,"Re-audit frozen records, preserve cohort separation, analyze 116/260 deadline misses, and trace every claim.",final recommendation withheld
D0,data,7,WEAK_ACCEPT,Any learned-map or general-navigation positioning would collapse the quantitative contribution.,"Authority table, exact zero-event intervals, GT-derived versus learned-map separation, and explicit baseline limitations.",final recommendation withheld
D7,novelty,8,WEAK_ACCEPT,The benchmark claim is non-executable without two independent reference-qualified learned-map cohorts.,"Two learned-map families/scenes, authority/alignment, frozen labels, confidence intervals, and direct baselines.",final recommendation withheld
D7,theory,4,REJECT,No admissible two-map learned cohort with sufficient labelled events exists.,"Two independent learned maps, preregistered queries, held-out splits, power/intervals, and a non-safety nonclaim.",final recommendation withheld
D7,systems,3,STRONG_REJECT,Cannot create a cross-map split or baseline table within the frozen eight-week scope.,"Canonical learned maps, aligned references, frozen event registries, reliability intervals, and identical baseline inputs.",final recommendation withheld
D7,data,2,STRONG_REJECT,The required two-map reference-complete learned cohort is absent.,"Independent maps, authoritative aligned references, representative queries, map-level splits, informative events, and normalized baselines.",final recommendation withheld
D6,novelty,4,REJECT,"Without a nontrivial Gaussian/query preservation theorem, the contribution is application engineering.","Invariant/equivalence proof, generic active-set comparison, adversarial misses, and two-map scaling.",final recommendation withheld
D6,theory,5,BORDERLINE,"Without a computable omitted-constraint bound, it remains empirical pruning.","Screening theorem, tolerance treatment, adversarial tests, deadline tails, and two-map evaluation.",final recommendation withheld
D6,systems,4,REJECT,"Without a screening bound and adversarial tests, the decisive constraint may be removed.","Preservation certificate, boundary suite, two maps, p95/p99 timing, and representative target-hardware trials.",final recommendation withheld
D6,data,3,REJECT,"Current data cannot reveal safety-critical pruning failures, and no conservative guard exists.","Equivalence result, adversarial event-positive suite, two maps, full-versus-budgeted measurements, and matched baselines.",final recommendation withheld
