layer,semantic_role,point_or_segment,base_radius_authority,base_radius_value,cert_margin_authority,cert_margin,effective_radius,rho_seg,map_authority,backend/query API,state_reference,frame,legacy_dependency,target_V2_dependency,authority_status,justification
CONTROLLER_ACTIVE_CBF,active control barrier query,point,CONTROLLER_GEOMETRY_AUTHORITY,0.015,NONE,0.0,0.015,NOT_APPLICABLE,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,CBF.h->query_distance,p_k,metric_world_map_frame,NONE,G0+G3,RESOLVED,controller retains operational geometry without certification margin
I0A_INITIAL_ADMISSION,initial current-point admission,point,CONTROLLER_GEOMETRY_AUTHORITY,0.015,CERTIFICATION_MARGIN_AUTHORITY,0.01,0.025,NOT_APPLICABLE,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,V2CurrentPointAuthorityAdapter,p_0,metric_world_map_frame,CurrentCBFAdapter parameterized query,G0+G1+G3,RESOLVED,certification point uses canonical composed radius
I0B_REPAIR_VERIFICATION,post-repair current-point verification,point,CONTROLLER_GEOMETRY_AUTHORITY,0.015,CERTIFICATION_MARGIN_AUTHORITY,0.01,0.025,NOT_APPLICABLE,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,V2CurrentPointAuthorityAdapter,p_repaired,metric_world_map_frame,CurrentCBFAdapter parameterized query,G0+G1+G3,RESOLVED,independent admission verification shares certification geometry
R0_DIAGNOSTIC_CURRENT,cheap health diagnostic only,point,CONTROLLER_GEOMETRY_AUTHORITY,0.015,CERTIFICATION_MARGIN_AUTHORITY,0.01,0.025,NOT_APPLICABLE,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,V2CurrentPointAuthorityAdapter,p_k,metric_world_map_frame,CurrentCBFAdapter parameterized query,G0+G1+G3,RESOLVED,R0 is non-gating diagnostic under same contract
L1_IMMEDIATE_CLOSED_SEGMENT,immediate closed-segment certificate,segment,CONTROLLER_GEOMETRY_AUTHORITY,0.015,CERTIFICATION_MARGIN_AUTHORITY,0.01,0.025,0.0,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,SweptSegmentCertifier,p_k_to_p_k1,metric_world_map_frame,SweptSegmentCertifier parameterized backend,G0+G1+G2+G3,RESOLVED,closed segment contains p_k and uses canonical geometry
C0_ADMISSIBILITY_NONCONSUMER,candidate admissibility logic,nonconsumer,NONE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NONE,candidate metadata,NONE,NONE,NONE,NONCONSUMER,no geometry query authority
L2_H1_SEGMENT,H1 future segment certificate,segment,CONTROLLER_GEOMETRY_AUTHORITY,0.015,CERTIFICATION_MARGIN_AUTHORITY,0.01,0.025,0.0,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,V2FrozenBackendAuthorityAdapter,p_k1_to_p_k2,metric_world_map_frame,frozen_backend_adapter parameterized backend,G0+G1+G2+G3,RESOLVED,historical contract loader quarantined
L3_BACKUP_SEGMENTS,backup rollout segment certificates,segment,CONTROLLER_GEOMETRY_AUTHORITY,0.015,CERTIFICATION_MARGIN_AUTHORITY,0.01,0.025,0.0,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,SweptSegmentCertifier,backup_segment_i,metric_world_map_frame,BackupCertifier injected segment certifier,G0+G1+G2+G3,RESOLVED,all backup segments share canonical injected certifier
L3_TERMINAL_POINT,backup terminal current-point certificate,point,CONTROLLER_GEOMETRY_AUTHORITY,0.015,CERTIFICATION_MARGIN_AUTHORITY,0.01,0.025,NOT_APPLICABLE,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,V2CurrentPointAuthorityAdapter,backup_terminal_state,metric_world_map_frame,TerminalCertifier injected current adapter,G0+G1+G3,RESOLVED,terminal point shares canonical point authority
L3_TERMINAL_ZERO_HOLD,backup terminal zero-hold certificate,segment,CONTROLLER_GEOMETRY_AUTHORITY,0.015,CERTIFICATION_MARGIN_AUTHORITY,0.01,0.025,0.0,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,SweptSegmentCertifier,terminal_zero_hold,metric_world_map_frame,TerminalCertifier injected segment certifier,G0+G1+G2+G3,RESOLVED,zero-hold must not use independent legacy radius
L5_TERMINAL_POINT,final terminal current-point certificate,point,CONTROLLER_GEOMETRY_AUTHORITY,0.015,CERTIFICATION_MARGIN_AUTHORITY,0.01,0.025,NOT_APPLICABLE,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,V2CurrentPointAuthorityAdapter,final_terminal_state,metric_world_map_frame,TerminalCertifier injected current adapter,G0+G1+G3,RESOLVED,final terminal point shares canonical authority
L5_TERMINAL_ZERO_HOLD,final terminal zero-hold certificate,segment,CONTROLLER_GEOMETRY_AUTHORITY,0.015,CERTIFICATION_MARGIN_AUTHORITY,0.01,0.025,0.0,STATIC_IMMUTABLE_REPRESENTED_GAUSSIAN_MAP_AUTHORITY,SweptSegmentCertifier,final_terminal_zero_hold,metric_world_map_frame,TerminalCertifier injected segment certifier,G0+G1+G2+G3,RESOLVED,final hold uses same segment authority
L4_PROPOSAL_NONCONSUMER,alternative proposal generation,nonconsumer,NONE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NONE,proposal metadata,NONE,NONE,NONE,NONCONSUMER,proposal authority cannot define geometry
SUPERVISOR_ARBITRATION_NONCONSUMER,certificate arbitration,nonconsumer,NONE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NONE,typed certificate records,NONE,NONE,NONE,NONCONSUMER,reads statuses and provenance but does not query geometry
