dedup_key,title,year,categories,decision,reason,dedup_rule,fulltext,code,url
2209.12266,NeRF-CBF: Safety- and Stability-Critical Control with Neural Radiance Fields,2022,C9;C10,INCLUDE,High or medium relevance to frozen candidates,2209.12266,FAIL,FAIL,https://arxiv.org/abs/2209.12266
2304.00194,Safe Perception-Based Control under Stochastic Sensor Uncertainty using Conformal Prediction,2023,C7;C10,INCLUDE,High or medium relevance to frozen candidates,2304.00194,PASS,FAIL,https://arxiv.org/abs/2304.00194
2309.08050,Robust Control Barrier Functions for Sampled-Data Systems,2023,C8,INCLUDE,High or medium relevance to frozen candidates,2309.08050,PASS,FAIL,https://arxiv.org/abs/2309.08050
2403.02751,Splat-Nav: Safe Real-Time Robot Navigation in Gaussian Splatting Maps,2024,C1;C3,INCLUDE,High or medium relevance to frozen candidates,2403.02751,PASS,PASS,https://arxiv.org/abs/2403.02751
2405.00362,Implicit Swept Volume SDF: Enabling Continuous Collision-Free Trajectory Generation for Arbitrary Shapes,2024,C9,INCLUDE,High or medium relevance to frozen candidates,2405.00362,PASS,PASS,https://arxiv.org/abs/2405.00362
2405.10142,GS-Planner: A Gaussian-Splatting-based Planning Framework for Active High-Fidelity Reconstruction,2024,C1;C4,INCLUDE,High or medium relevance to frozen candidates,2405.10142,PASS,FAIL,https://arxiv.org/abs/2405.10142
2409.09868,A Control Barrier Function for Safe Navigation with Online Gaussian Splatting Maps,2024,C2;C5,INCLUDE,High or medium relevance to frozen candidates,2409.09868,PASS,PASS,https://arxiv.org/abs/2409.09868
2409.16915,Let's Make a Splan: Risk-Aware Trajectory Optimization in a Normalized Gaussian Splat,2024,C1;C3;C10,INCLUDE,High or medium relevance to frozen candidates,2409.16915,PASS,FAIL,https://arxiv.org/abs/2409.16915
2407.03569,Adaptive Conformal Safety Control,2024,C7;C10,INCLUDE,High or medium relevance to frozen candidates,2407.03569,FAIL,FAIL,https://arxiv.org/abs/2407.03569
2505.08510,FOCI: Trajectory Optimization on Gaussian Splats,2025,C1;C3,INCLUDE,High or medium relevance to frozen candidates,2505.08510,PASS,PASS,https://arxiv.org/abs/2505.08510
2509.14421,Perception-Integrated Safety Critical Control via Analytic Collision Cone Barrier Functions on 3D Gaussian Splatting,2025,C2;C5,INCLUDE,High or medium relevance to frozen candidates,2509.14421,PASS,FAIL,https://arxiv.org/abs/2509.14421
2604.18205,A Comparative Evaluation of Geometric Accuracy in NeRF and Gaussian Splatting,2026,C6,INCLUDE,High or medium relevance to frozen candidates,2604.18205,PASS,FAIL,https://arxiv.org/abs/2604.18205
2605.20566,Conflict-Aware Active Perception and Control in 3D Gaussian Splatting Fields via Control Barrier Functions,2026,C2;C4;C10,INCLUDE,High or medium relevance to frozen candidates,2605.20566,PASS,FAIL,https://arxiv.org/abs/2605.20566
2605.30342,Uncertainty-driven 3D Gaussian Splatting Active Mapping via Anisotropic Visibility Field,2026,C4;C5,INCLUDE,High or medium relevance to frozen candidates,2605.30342,PASS,FAIL,https://openaccess.thecvf.com/content/CVPR2026/html/Xue_Uncertainty-driven_3D_Gaussian_Splatting_Active_Mapping_via_Anisotropic_Visibility_Field_CVPR_2026_paper.html
2606.00297,Predicted-Flow Control Barrier Functions for Real-Time Safe Optimal Control,2026,C8;C10,INCLUDE,High or medium relevance to frozen candidates,2606.00297,PASS,PASS,https://arxiv.org/abs/2606.00297
2607.01200,FastBridge: Closing the Model-Based Realization Gap in Safety Filters on 3D Gaussian Splatting for Fast Quadrotor Flight,2026,C2;C5;C8,INCLUDE,High or medium relevance to frozen candidates,2607.01200,PASS,FAIL,https://arxiv.org/abs/2607.01200
2607.08948,SplatCtrl: Perception-Action Coupling via Gaussian Scene Representations and Reactive Robot Control,2026,C2;C5,INCLUDE,High or medium relevance to frozen candidates,2607.08948,PASS,FAIL,https://arxiv.org/abs/2607.08948
2603.10392,Safe Probabilistic Planning using Conformal Risk Control,2026,C7;C10,INCLUDE,High or medium relevance to frozen candidates,2603.10392,FAIL,FAIL,https://arxiv.org/abs/2603.10392
2603.15186,NavGSim: Navigation in Gaussian Splatting Simulations,2026,C1;C6,EXCLUDE,Excluded from method matrix pending full benchmark/reference audit,2603.15186,FAIL,FAIL,https://arxiv.org/abs/2603.15186
2602.12159,3DGSNav: Navigating with 3D Gaussian Splatting,2026,C1,EXCLUDE,Excluded from high-relevance matrix after abstract screening,2602.12159,FAIL,FAIL,https://arxiv.org/abs/2602.12159
2607.05522,Bayesian 3D Gaussian Splatting,2026,C4,EXCLUDE,Excluded because control/query evidence was not primary focus,2607.05522,FAIL,FAIL,https://arxiv.org/abs/2607.05522
2605.30696,BP-SDF: Barrier-Preserving Signed Distance Fields for Safe Control,2026,C9;C10,EXCLUDE,Excluded because it is not Gaussian-map specific and arrived after core set saturation,2605.30696,FAIL,FAIL,https://arxiv.org/abs/2605.30696
