hypothesis_id,hypothesis,status,decisive_evidence
H01,Risk-aware filtering adds safety beyond SAFER,falsified,"Observed benefit is efficiency/constraint reduction, not new safety"
H02,TUM Splatfacto rendering quality implies navigation geometry,falsified,Post-3K metric geometry drift and reference mismatch
H03,Import-only gsplat probe qualifies CUDA backend,falsified,_C was None until functional forward/backward qualification
H04,Map loadability establishes Protocol V2 qualification,falsified,Reference authority and metric provenance remain independent gates
H05,Start failure necessarily indicts controller,falsified,Several failures were start-safe/protocol/geometry inadmissibility
H06,Continuous CBF evaluation is enough for sampled execution,falsified,Boundary and finite-step certification were separately required
H07,Stress-case recovery proves representative benefit,falsified,Representative segment/backup/directional prevalence was 0/160
H08,Activated cohort estimates field prevalence,falsified,Activated cohort is deliberately selection-biased
H09,Zero represented false-safe establishes collision superiority,falsified,Reference collision event count was zero in the relevant representative comparison
H10,Core V1 can be claimed as broad SAFER replacement,falsified,Representative activation was absent and B3 deadline miss was 44.62%
H11,Module correctness composes automatically into system safety,falsified,Open assumptions and end-to-end evidence gaps remain
H12,The finite directional library guarantees recovery,falsified,"It is a bounded candidate set, not a viability proof"
H13,A single qualified map is enough for learned-map generalization,falsified,No two-map credible-reference split exists
H14,Photometric metrics are sufficient geometry authority,falsified,Robotics collision claims require mesh/depth/ray authority
H15,Unknown map regions can be treated as free by default,falsified,Protocol V2 requires fail-closed or explicit UNKNOWN semantics
H16,A wrapper/runtime repair changes scientific attempt identity,falsified,Nonsemantic repairs were isolated while frozen tokens stayed fixed
H17,The 20-pair paused schedule is a completed benchmark,falsified,Only two terminal scientific rollouts were preserved
H18,More direction churn is justified by sunk engineering cost,falsified,"Selection must be based on novelty, data readiness, and bounded deliverability"
