dedup_key,title,venue_status,research_question,input_representation,map_assumptions,geometry_authority,uncertainty_object,query_unit,output_semantics,unknown_or_abstention,false_free_direct,point_segment_trajectory,robot_footprint,control_model,actuator_bounds,sampled_data,terminal_backup,method,theory,exact_assumptions,datasets,learned_or_gt,reference_authority,closed_loop,hardware,runtime,released_code,stated_limitations,overlap,uncovered,direct_baseline,source_pointer
2304.00194,Safe Perception-Based Control under Stochastic Sensor Uncertainty using Conformal Prediction,primary manuscript,Conformal state-estimation sets combine with measurement-robust sampled-data CBFs,High-dimensional sensor observation plus learned perception map producing a state estimate,Calibration and test residuals satisfy the paper's exchangeability assumptions,Ground-truth state/trajectory in the evaluated control systems,Conformal prediction region for perception/state-estimation error,Per-sample state estimate and robust safety constraint,Measurement-robust sampled-data safe control with probabilistic coverage statement,No map-level SAFE/OCCUPIED/UNKNOWN label; uncertainty is a conformal set,No Gaussian-map false-free label,State/control sample and closed-loop trajectory,"System/task-specific, not a Gaussian footprint certificate",Control-affine systems with learned perception,System-specific; not the paper's primary contribution,Explicit measurement-robust sampled-data CBF construction,none_found,Conformal state-estimation sets combine with measurement-robust sampled-data CBFs,Coverage-to-safety result under stated conformal and system assumptions,"Exchangeable calibration/test errors, valid system model, and CBF regularity/robustness conditions",F1/10 perception-control case study and paper-specific simulations,Learned perception with ground-truth evaluation,"Ground-truth state used for evaluation, not 3D map geometry",yes,F1/10 platform/case study as reported,Paper-specific; not normalized to our 4090,FAIL,Assumes exchangeability/calibration coverage; not 3DGS-specific,High for D3/D8 calibration semantics,Cross-map one-sided reference qualification remains generally uncovered,YES,"PDF pp.1-5, Sec. II-IV; theorem/coverage discussion; https://arxiv.org/abs/2304.00194"
2309.08050,Robust Control Barrier Functions for Sampled-Data Systems,primary manuscript,"Robust CBF constraints explicitly account for sampling, disturbance, and measurement error",Analytic sampled-data dynamical system with bounded disturbance and measurement error,No learned or Gaussian map,Analytic safe set,Bounded disturbance and measurement-error sets,Sampled control update,Robust high-order CBF inequality for zero-order-hold control,none_found,Not a map-classification problem,Sampled state and intersample evolution,System-specific,Relative-degree-one or higher nonlinear sampled-data system,Can enter admissible-control set; not Gaussian-specific,central and explicit,none_found,"Robust CBF constraints explicitly account for sampling, disturbance, and measurement error",High-order doubly robust CBF and sampled-data safety conditions,"Bounded disturbances/errors, known sampling period, regular dynamics, and feasible robust constraint",Analytic/simulation case studies,No learned map,Analytic model,simulation,none_found,No direct 3DGS runtime comparison,FAIL,Not a Gaussian-map method,Theory baseline for D1/D4,Cross-map one-sided reference qualification remains generally uncovered,YES,"PDF pp.1-6, Def. 2-3 and sampled-data construction; https://arxiv.org/abs/2309.08050"
2403.02751,Splat-Nav: Safe Real-Time Robot Navigation in Gaussian Splatting Maps,RA-L 2024,Safe polytope planning plus vision localization; 126 hardware flights and 2 Hz replanning,Pretrained anisotropic 3D Gaussian Splatting scene and onboard images for localization,Gaussian ellipsoids provide scene geometry adequate for conservative free-space polytopes,Paper scene geometry/collision setup; no Protocol V2 hierarchy,Localization robustness; no calibrated map-level uncertainty,Safe polytope corridor and Bézier trajectory,Collision-free planned trajectory inside certified polytope corridor,No explicit map-level UNKNOWN found,No one-sided cross-map false-free calibration,Trajectory,Robot geometry incorporated through obstacle/corridor construction,Trajectory planning and vision-based localization,Trajectory feasibility limits; not an actuator-level CBF-QP,"Replanning system, not a sampled-data CBF theorem",none_found,Safe polytope planning plus vision localization; 126 hardware flights and 2 Hz replanning,Safe-by-construction corridor/trajectory result under map and localization assumptions,"Static accurate map, collision geometry construction, and localization within evaluated regime",Synthetic/real Gaussian scenes and 126 hardware flight trials,Learned Gaussian maps,Experiment collision outcome and scene assets,yes,"yes, aerial robot",Approximately 2 Hz replanning reported,PASS,Planning corridor rather than selective map truth or backup-CBF semantics,Strong navigation baseline for D2/D5/D7,Cross-map one-sided reference qualification remains generally uncovered,YES,PDF pp.2-8 methods; pp.15-17 experiments; https://arxiv.org/abs/2403.02751
2405.00362,Implicit Swept Volume SDF: Enabling Continuous Collision-Free Trajectory Generation for Arbitrary Shapes,ACM TOG 2024,Continuous swept-volume SDF for arbitrary-shape trajectory optimization,Implicit/mesh geometry for robot and environment,Valid signed distance and swept-volume representation,Exact/sampled geometry used by continuous collision experiments,none_found,Whole swept volume along a trajectory,Continuous collision-free trajectory objective/constraint,none_found,No learned-map false-free label,Continuous trajectory swept volume,Arbitrary robot shape,Trajectory generation/optimization,Trajectory limits as configured,Continuous geometric checking; not sampled-data CBF,none_found,Continuous swept-volume SDF for arbitrary-shape trajectory optimization,Implicit swept-volume SDF construction and continuous collision objective,Accurate geometry/SDF and optimizer convergence to reported solution,Paper geometric planning benchmarks,"Geometry representation, not learned 3DGS",Explicit geometry,trajectory generation,paper-specific demonstrations,Reported planner runtime; not normalized to our maps,PASS,Not Gaussian-map-specific and no map-reference uncertainty,Strong geometric baseline for D2,Cross-map one-sided reference qualification remains generally uncovered,YES,"PDF pp.3-9, swept-volume SDF formulation and experiments; https://arxiv.org/abs/2405.00362"
2405.10142,GS-Planner: A Gaussian-Splatting-based Planning Framework for Active High-Fidelity Reconstruction,IROS 2024,Gaussian active reconstruction with a safety-aware trajectory planning constraint,Online 3DGS reconstruction from RGB-D active views,Current Gaussian reconstruction supports view utility and safety-aware planning,Simulator/scene geometry for reconstruction experiments,Reconstruction/view utility rather than calibrated false-free risk,Next-best-view path/trajectory,Safe active-reconstruction trajectory,No explicit one-sided map UNKNOWN label found,No cross-map false-free calibration,Trajectory,Quadrotor safety constraint,Active reconstruction planner,Trajectory feasibility as configured,none_found as theorem,none_found,Gaussian active reconstruction with a safety-aware trajectory planning constraint,Optimization formulation; no end-to-end safety theorem transferred here,Sufficient reconstruction quality and valid planner safety representation,Simulated supermarket and paper active-reconstruction scenes,Online learned 3DGS,Simulation ground truth/reconstruction metrics,active mapping loop,simulated quadrotor in reviewed evidence,Paper-specific,FAIL,Reconstruction objective and safety constraint differ from executable filter qualification,Baseline for planning/active mapping,Cross-map one-sided reference qualification remains generally uncovered,YES,"PDF pp.2-6, planning objective and safety constraint; https://arxiv.org/abs/2405.10142"
2409.09868,A Control Barrier Function for Safe Navigation with Online Gaussian Splatting Maps,RA-L 2025,SAFER-Splat performs online Gaussian mapping and minimally invasive CBF filtering,Online Gaussian Splatting map built from robot observations,Gaussian geometry is usable by the analytic barrier field,Paper experiment scenes; no independent cross-map qualification hierarchy,No calibrated one-sided map uncertainty,Current robot state/control against Gaussian barrier,Minimally invasive CBF-filtered control,No explicit map-level UNKNOWN found,No one-sided cross-map false-free calibration,Point/current-state filtering and closed-loop trajectory,Robot radius/extent represented in barrier geometry,Reduced-order single/double-integrator-style control used by SAFER-Splat,Paper control constraints; not full quadrotor realization,Executed discretely; no matching robust sampled-data theorem found,none_found,SAFER-Splat performs online Gaussian mapping and minimally invasive CBF filtering,CBF forward-invariance statement under model/map assumptions,"Accurate local Gaussian map, CBF feasibility, model validity, and solver execution",Paper synthetic and real navigation scenes,Online learned 3DGS,Experiment outcomes; no Protocol V2 oracle,yes,yes,Real-time/scalable as reported; hardware differs from our audit,PASS,Uses reduced-order dynamics and does not establish our cross-map reference contract,Direct baseline and origin of current work,Cross-map one-sided reference qualification remains generally uncovered,YES,"PDF pp.2-6, CBF construction, online map, experiments; https://arxiv.org/abs/2409.09868"
2409.16915,Let's Make a Splan: Risk-Aware Trajectory Optimization in a Normalized Gaussian Splat,ICRA 2025,Bounds collision probability in a normalized splat and optimizes risk-aware trajectories,Normalized Gaussian Splat density and robot trajectory,Normalized splat supports an upper bound on collision probability,Simulator/scene collision geometry and real manipulator experiment,Collision probability bound induced by normalized Gaussian density,Whole trajectory,Risk-aware optimized trajectory,No map-level UNKNOWN found,No one-sided cross-map false-free calibration,Trajectory,Robot geometry represented in collision-risk evaluation,Trajectory optimization,Trajectory/robot limits as configured,Not a sampled-data safety-filter theorem,none_found,Bounds collision probability in a normalized splat and optimizes risk-aware trajectories,Rigorous upper bound on collision probability in the normalized splat,Valid normalized Gaussian representation and optimization/risk-bound assumptions,"Replica, TUM-RGBD, cluttered simulation, and real manipulator demonstration",Learned normalized Gaussian maps,Dataset/experiment geometry,trajectory execution demonstration,"yes, manipulator",Paper reports optimization performance; not a 50 ms filter contract,FAIL,Trajectory optimization rather than selective false-free query,Strong D2/D5/D6 overlap,Cross-map one-sided reference qualification remains generally uncovered,YES,"PDF pp.3-10, normalized GS collision bound and optimization; https://arxiv.org/abs/2409.16915"
2505.08510,FOCI: Trajectory Optimization on Gaussian Splats,IROS 2025,Gaussian overlap collision integral supports orientation-aware differentiable optimization,Anisotropic Gaussian environment and Gaussian approximation of robot geometry,Gaussian overlap is a valid differentiable collision surrogate,Synthetic/real experiment collision geometry,"Overlap integral, not calibrated epistemic uncertainty",Pose/trajectory overlap objective,Orientation-aware collision-minimizing trajectory,none_found,No cross-map one-sided false-free label,Trajectory,Explicit Gaussian robot model with orientation,Differentiable trajectory optimization,Trajectory constraints as configured,Not a sampled-data CBF theorem,none_found,Gaussian overlap collision integral supports orientation-aware differentiable optimization,Closed-form/differentiable field-overlap collision integral,Faithful Gaussian robot/environment approximations and optimizer convergence,Synthetic scenes and real robot experiments in the paper,Learned 3DGS environments,Experiment collision geometry,trajectory execution/optimization,yes,Few-second optimization reported even with hundreds of thousands of Gaussians,PASS,Optimization geometry is not a one-sided cross-map truth certificate,High D2/D5 overlap,Cross-map one-sided reference qualification remains generally uncovered,YES,"PDF pp.2-6, FOCI integral and trajectory optimization; https://arxiv.org/abs/2505.08510"
2509.14421,Perception-Integrated Safety Critical Control via Analytic Collision Cone Barrier Functions on 3D Gaussian Splatting,arXiv,Analytic forward collision cones from individual splats yield first-order CBF-QP constraints,Individual anisotropic 3D Gaussian splats converted to inflated ellipsoidal obstacles,Each splat's geometry can define a conservative forward collision cone,Paper scene/collision setup; no Protocol V2 reference hierarchy,Deterministic splat geometry,Per-splat forward collision cone at a control step,First-order collision-cone CBF constraint in a QP,No explicit map-level UNKNOWN found,No one-sided false-free calibration,Control step and closed-loop trajectory,Minkowski-style obstacle inflation for robot extent,Reduced-order safety-critical control with CBF-QP,QP/control bounds as configured,Discrete implementation; no robust sampled-data theorem found,none_found,Analytic forward collision cones from individual splats yield first-order CBF-QP constraints,Analytic collision-cone geometry yielding a first-order CBF,"Valid splat ellipsoid geometry, model/QP assumptions, and cone construction",Paper simulation/navigation scenes,Learned 3DGS,Paper collision environment,yes,none_found in reviewed text,Real-time intent; no normalization to our benchmark,FAIL,No calibrated false-free UNKNOWN contract or two-map reference study found,Very high D2/D5 overlap,Cross-map one-sided reference qualification remains generally uncovered,YES,"PDF pp.2-5, collision cone CBF, QP, evaluation; https://arxiv.org/abs/2509.14421"
2604.18205,A Comparative Evaluation of Geometric Accuracy in NeRF and Gaussian Splatting,arXiv,Evaluates rendering representations with independent geometry metrics across 19 scenes,NeRF and Gaussian Splatting reconstructions,Rendering representations can be evaluated against independent surface geometry,Reference geometry/depth across 19 scenes,"Geometry error metrics, not predictive uncertainty",Surface/point geometry metric,Comparative geometric accuracy score,none_found,Does not directly define navigation false-free labels,Surface/point evaluation,none,none,not applicable,not applicable,not applicable,Evaluates rendering representations with independent geometry metrics across 19 scenes,Measurement protocol and comparative evaluation,Reference geometry is aligned and metrics reflect relevant surface fidelity,19 scenes reported in the paper,Learned reconstructions with independent reference,Reference geometry/depth,no,no,Evaluation runtime not a control contract,FAIL,Not a navigation/control benchmark,Measurement baseline for D7,Cross-map one-sided reference qualification remains generally uncovered,YES,"PDF pp.2-7, 19-scene geometry metrics and results; https://arxiv.org/abs/2604.18205"
