metric_name,failure_can_imply,failure_cannot_imply,pass_cannot_imply
coverage,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety,collision-free or physically certified navigation by itself
renderer_acceptance_alpha,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety,collision-free or physically certified navigation by itself
AbsRel,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety,collision-free or physically certified navigation by itself
delta1,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety,collision-free or physically certified navigation by itself
median_depth_ratio,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety,collision-free or physically certified navigation by itself
PSNR_SSIM_LPIPS,the named diagnostic or contract condition failed in its stated domain,"does not establish universal cross-dataset navigation usability without authority, domain, and physical contract",collision-free or physically certified navigation by itself
point_to_mesh,the named diagnostic or contract condition failed in its stated domain,"does not establish universal cross-dataset navigation usability without authority, domain, and physical contract",collision-free or physically certified navigation by itself
accuracy_completeness_F,the named diagnostic or contract condition failed in its stated domain,"does not establish universal cross-dataset navigation usability without authority, domain, and physical contract",collision-free or physically certified navigation by itself
one_sided_clearance,potentially dangerous obstacle-distance overestimation in the evaluated domain,"does not establish universal cross-dataset navigation usability without authority, domain, and physical contract",collision-free or physically certified navigation by itself
false_free,potentially dangerous obstacle-distance overestimation in the evaluated domain,"does not establish universal cross-dataset navigation usability without authority, domain, and physical contract",collision-free or physically certified navigation by itself
G0,query/interface qualification failed under the frozen static probe,a pass does not prove collision-free navigation; a fail may be interface rather than geometry,collision-free or physically certified navigation by itself
route_success_progress,the named diagnostic or contract condition failed in its stated domain,"does not establish universal cross-dataset navigation usability without authority, domain, and physical contract",collision-free or physically certified navigation by itself
