rule_id,source_phase,event,guard,destination_phase,reason_scope,retained_backup_requirement,deadline_requirement,candidate_requirement,failure_mapping,action_authority,commit_allowed,old_backup_retained,new_backup_created,theorem_interpretation,may_start_next_stage,may_start_new_search,requires_arbitration,deadline_interpretation,backup_routing_allowed,terminal_routing_allowed,carrier_verdict,evidence
SA_SAFE,START_ADMISSION,INITIAL_SAFE,initial full-query admission,RUNTIME_CURRENT_ROLE,NONE,NONE,OPEN,NONE,,NONE,False,False,False,initial admission only,True,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
SA_REPAIR,START_ADMISSION,INITIAL_REPAIR_REQUIRED,initial state needs lawful repair,REPAIR,NONE,NONE,OPEN,NONE,F_START_INVALID,NONE,False,False,False,initial or explicit re-entry only,True,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
REPAIR_PASS,REPAIR,REPAIR_PASS,repaired state receives full re-certification,RUNTIME_CURRENT_ROLE,NONE,NONE,OPEN,NONE,,NONE,False,False,False,repair proposal is not itself a certificate,True,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
REPAIR_FAIL,REPAIR,REPAIR_FAIL,repair or recertification fails,ASSURANCE_BOUNDARY,NONE,NONE,ANY,NONE,F_CURRENT_FEASIBILITY_FAIL,OUTSIDE_METHOD,False,False,False,no method-certified initialization action,False,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
REPAIR_UNKNOWN,REPAIR,REPAIR_UNKNOWN,repair evidence unresolved,ASSURANCE_BOUNDARY,UNRESOLVED_SCOPE,NONE,ANY,NONE,F_CURRENT_QUERY_UNKNOWN,OUTSIDE_METHOD,False,False,False,unknown remains evidence-limited,False,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
R0_DIAGNOSTIC,RUNTIME_CURRENT_ROLE,R0_DIAGNOSTIC_COMPLETE,R0 has no independent hard-gate authority,L1,ANY,ANY,ANY,NONE,,NONE,False,True,False,diagnostic or health precheck only,True,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L1_PASS,L1,L1_PASS,closed immediate segment certified,PRIMARY_PROPOSAL,NONE,ANY,OPEN,NONE,,NONE,False,True,False,L1 includes current endpoint,True,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L1_FAIL,L1,L1_FAIL,candidate-independent immediate segment unsafe,ARBITRATION,NONE,ANY,ANY,NONE,F_IMMEDIATE_UNAVOIDABLE_SEGMENT_FAIL,NONE,False,True,False,no ordinary alternative search,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L1_UNKNOWN_GLOBAL,L1,L1_UNKNOWN_GLOBAL,map or authority evidence unresolved,ARBITRATION,GLOBAL_AUTHORITY_OR_EVIDENCE,ANY,ANY,NONE,F_MAP_REFERENCE_UNRESOLVED,NONE,False,True,False,fallback only if retained token unaffected,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L1_UNKNOWN_HEALTH,L1,L1_UNKNOWN_HEALTH,query health unresolved,ARBITRATION,INFRASTRUCTURE_HEALTH,ANY,ANY,NONE,F_CURRENT_QUERY_UNKNOWN,NONE,False,True,False,observer or query health is not unsafe,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L1_UNKNOWN_UNRESOLVED,L1,L1_UNKNOWN_UNRESOLVED,scope cannot be classified,ARBITRATION,UNRESOLVED_SCOPE,ANY,ANY,NONE,F_CURRENT_QUERY_UNKNOWN,NONE,False,True,False,fail closed at method boundary if no fallback,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
P0_PRIMARY,PRIMARY_PROPOSAL,PRIMARY_AVAILABLE,controller returns finite primary proposal,C0,NONE,ANY,OPEN,PRIMARY,,NONE,False,True,False,proposal has no execution authority,True,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
P0_NONE,PRIMARY_PROPOSAL,NO_CANDIDATE,no lawful primary proposal,ARBITRATION,NONE,ANY,ANY,NONE,F_PRIMARY_FUTURE_SAFETY_FAIL,NONE,False,True,False,no candidate is not a safe stop,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
C0_PASS,C0,C0_PASS,candidate admissibility complete,L2,NONE,ANY,OPEN,PRIMARY_OR_ALTERNATIVE,,NONE,False,True,False,candidate may proceed but cannot commit,True,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
C0_FAIL_LOCAL_ALT,C0,C0_FAIL_LOCAL,candidate-local defect and fallback/alt prerequisites hold,ALT_SEARCH,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,F_ACTUATOR_ADMISSIBILITY_LOCAL,NONE,False,True,False,another lawful candidate may repair local illegality,True,True,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
C0_FAIL_LOCAL_ARB,C0,C0_FAIL_LOCAL,candidate-local defect without lawful search prerequisites,ARBITRATION,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,F_ACTUATOR_ADMISSIBILITY_LOCAL,NONE,False,True,False,route to retained fallback or boundary,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
C0_UNKNOWN_LOCAL_ALT,C0,C0_UNKNOWN_LOCAL,candidate-local computation unknown with lawful search prerequisites,ALT_SEARCH,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,NONE,False,True,False,unknown remains typed during optional search,True,True,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
C0_UNKNOWN_LOCAL_ARB,C0,C0_UNKNOWN_LOCAL,candidate-local computation unknown without search prerequisites,ARBITRATION,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,NONE,False,True,False,no free pass,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
C0_UNKNOWN_GLOBAL,C0,C0_UNKNOWN_GLOBAL,actuator/map/time authority unresolved,ARBITRATION,GLOBAL_AUTHORITY_OR_EVIDENCE,ANY,ANY,PRIMARY_OR_ALTERNATIVE,F_ACTUATOR_AUTHORITY_UNRESOLVED,NONE,False,True,False,candidate change cannot repair global authority,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L2_PASS,L2,L2_PASS,H1 full segment certified,L3,NONE,ANY,OPEN,PRIMARY_OR_ALTERNATIVE,,NONE,False,True,False,L2 pass is not recoverability,True,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L2_FAIL_ALT,L2,L2_FAIL,H1 finite unsafe witness and search prerequisites hold,ALT_SEARCH,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,F_PRIMARY_FUTURE_SAFETY_FAIL,NONE,False,True,False,reject candidate only,True,True,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L2_FAIL_ARB,L2,L2_FAIL,H1 finite unsafe witness without search prerequisites,ARBITRATION,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,F_PRIMARY_FUTURE_SAFETY_FAIL,NONE,False,True,False,no global impossibility claim,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L2_UNKNOWN_LOCAL_ALT,L2,L2_UNKNOWN_LOCAL,candidate-local computation unknown with search prerequisites,ALT_SEARCH,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,NONE,False,True,False,typed unknown optional search,True,True,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L2_UNKNOWN_LOCAL_ARB,L2,L2_UNKNOWN_LOCAL,candidate-local unknown without prerequisites,ARBITRATION,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,NONE,False,True,False,fallback or boundary,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L2_UNKNOWN_GLOBAL,L2,L2_UNKNOWN_GLOBAL,map/authority/health unknown,ARBITRATION,GLOBAL_AUTHORITY_OR_EVIDENCE,ANY,ANY,PRIMARY_OR_ALTERNATIVE,F_MAP_REFERENCE_UNRESOLVED,NONE,False,True,False,no alternative by default,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L3_FOUND,L3,L3_WITNESS_FOUND,sufficient frozen backup/terminal witness exists,ARBITRATION,NONE,ANY,OPEN,PRIMARY_OR_ALTERNATIVE,,NONE,False,True,True,witness sufficient not maximal,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L3_ABSENT_ALT,L3,L3_WITNESS_ABSENT,no witness in frozen contract and search prerequisites hold,ALT_SEARCH,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,F_PRIMARY_BACKUP_FAIL,NONE,False,True,False,absence is not unrecoverability,True,True,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L3_ABSENT_ARB,L3,L3_WITNESS_ABSENT,no witness without search prerequisites,ARBITRATION,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,F_PRIMARY_BACKUP_FAIL,NONE,False,True,False,fallback or boundary,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L3_UNKNOWN_LOCAL_ALT,L3,L3_UNKNOWN_LOCAL,candidate-local witness computation unknown with prerequisites,ALT_SEARCH,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,NONE,False,True,False,typed local unknown,True,True,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L3_UNKNOWN_LOCAL_ARB,L3,L3_UNKNOWN_LOCAL,candidate-local witness unknown without prerequisites,ARBITRATION,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,NONE,False,True,False,fallback or boundary,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
L3_UNKNOWN_GLOBAL,L3,L3_UNKNOWN_GLOBAL,global witness authority unresolved,ARBITRATION,GLOBAL_AUTHORITY_OR_EVIDENCE,ANY,ANY,PRIMARY_OR_ALTERNATIVE,F_MAP_REFERENCE_UNRESOLVED,NONE,False,True,False,not unrecoverability,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
ALT_NEXT,ALT_SEARCH,ALT_AVAILABLE,deadline open and finite lawful candidate remains,C0,NONE,VALID,OPEN,ALTERNATIVE,,NONE,False,True,False,alternative must restart C0-L2-L3,True,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
ALT_DONE,ALT_SEARCH,ALT_EXHAUSTED,finite library exhausted,ARBITRATION,NONE,ANY,ANY,NONE,F_ALTERNATIVE_LIBRARY_EXHAUSTED,NONE,False,True,False,finite exhaustion only,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
ALT_GUARD,ALT_SEARCH,DEADLINE_GUARD,guard or expiry preempts search,ARBITRATION,NONE,ANY,GUARD_OR_EXPIRED,NONE,F_RUNTIME_DEADLINE,NONE,False,True,False,no post-deadline search,False,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
ARB_NAV,ARBITRATION,ARBITRATE,new witness ready and deadline open,COMMIT,NONE,ANY,OPEN,PRIMARY_OR_ALTERNATIVE,,CERTIFIED_NAVIGATION,True,True,True,atomic handoff creates next-cycle fallback,True,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
ARB_BACKUP,ARBITRATION,ARBITRATE,no new timely navigation and retained backup valid,BACKUP_EXECUTION,NONE,VALID,ANY,NONE,,RETAINED_BACKUP,False,True,False,execute certified retained tail,True,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
ARB_TERMINAL,ARBITRATION,ARBITRATE,no navigation/backup and terminal action already eligible,COMMIT,NONE,NONE_OR_INVALID_OR_EXHAUSTED,ANY,NONE,,CERTIFIED_TERMINAL,True,False,False,terminal membership alone is insufficient,True,False,True,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
ARB_EVAL_TERMINAL,ARBITRATION,ARBITRATE,deadline open and terminal not yet evaluated,TERMINAL_EVALUATION,NONE,NONE_OR_INVALID_OR_EXHAUSTED,OPEN,NONE,,NONE,False,False,False,terminal evaluation before guard reserve,True,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
ARB_BOUNDARY,ARBITRATION,ARBITRATE,no method-certified executable action,ASSURANCE_BOUNDARY,NONE,NONE_OR_INVALID_OR_EXHAUSTED,ANY,NONE,F_NO_METHOD_CERTIFIED_ACTION,OUTSIDE_METHOD,False,False,False,external emergency outside theorem,False,False,False,Supervisor-owned PR110 observation,False,False,EXACT_CARRIED,TransitionRule -> RoutingDecision fields copied from PR121 row metadata
