committed,environment,match_formal,method,mismatch,repeat,repeat_deterministic,repeat_difference,selected_candidate,semantic_status,state_id,typed_reason
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,terminal-zero-hold,CERTIFIED_TERMINAL_ACTION,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,CERTIFIED_TERMINAL_ACTION
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,terminal-zero-hold,CERTIFIED_TERMINAL_ACTION,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,CERTIFIED_TERMINAL_ACTION
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},terminal-zero-hold,CERTIFIED_TERMINAL_ACTION,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,CERTIFIED_TERMINAL_ACTION
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},terminal-zero-hold,CERTIFIED_TERMINAL_ACTION,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,CERTIFIED_TERMINAL_ACTION
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,CERTIFIED_NOMINAL_CONTROL
