failure_code,preserved_from_v1,invocation_scope,candidate_repairability,reason_scope,retained_backup_impact,alternative_eligible,theorem_status,executable_response_class
F_START_INVALID,true,INITIAL,NOT_CANDIDATE_LOCAL,NONE,NOT_APPLICABLE,false,INITIAL_ADMISSION_FAILURE,INITIAL_REPAIR_OR_BOUNDARY
F_CURRENT_QUERY_UNKNOWN,true,RUNTIME,GLOBAL,GLOBAL_AUTHORITY_OR_EVIDENCE,VALIDITY_DEPENDS_ON_FAILED_AUTHORITY,false,EVIDENCE_LIMITATION,FALLBACK_OR_BOUNDARY
F_CURRENT_FEASIBILITY_FAIL,true,RUNTIME,NOT_CANDIDATE_LOCAL,NONE,NO_RUNTIME_PROJECTION,false,RUNTIME_PROJECTION_FORBIDDEN,FALLBACK_OR_BOUNDARY
F_IMMEDIATE_UNAVOIDABLE_SEGMENT_FAIL,true,RUNTIME,NOT_CANDIDATE_LOCAL,NONE,UNCHANGED_IF_INDEPENDENTLY_VALID,false,CANDIDATE_INDEPENDENT_FAILURE,FALLBACK_OR_BOUNDARY
F_PRIMARY_FUTURE_SAFETY_FAIL,true,RUNTIME,CANDIDATE_LOCAL,CANDIDATE_LOCAL_COMPUTATION,UNCHANGED_IF_INDEPENDENTLY_VALID,conditional,CANDIDATE_REJECT,ALT_OR_FALLBACK
F_PRIMARY_BACKUP_FAIL,true,RUNTIME,CANDIDATE_LOCAL,CANDIDATE_LOCAL_COMPUTATION,UNCHANGED_IF_INDEPENDENTLY_VALID,conditional,NO_WITNESS_IN_FROZEN_CONTRACT,ALT_OR_FALLBACK
F_ALTERNATIVE_LIBRARY_EXHAUSTED,true,RUNTIME,NO_FINITE_LIBRARY_CANDIDATE,NONE,UNCHANGED_IF_INDEPENDENTLY_VALID,false,NOT_CONTINUOUS_INFEASIBILITY,FALLBACK_OR_BOUNDARY
F_TERMINAL_NOT_CERTIFIED,true,RUNTIME,NOT_CANDIDATE_LOCAL,GLOBAL_AUTHORITY_OR_EVIDENCE,UNCHANGED_IF_INDEPENDENTLY_VALID,false,NO_TERMINAL_ACTION_CERTIFICATE,FALLBACK_OR_BOUNDARY
F_RUNTIME_DEADLINE,true,RUNTIME,NOT_REPAIRABLE_WITHIN_CYCLE,NONE,USE_ONLY_PREPARED_VALID_TOKEN,false,SCHEDULING_AUTHORITY,FALLBACK_OR_BOUNDARY
F_MAP_REFERENCE_UNRESOLVED,true,ANY,GLOBAL,GLOBAL_AUTHORITY_OR_EVIDENCE,INVALID_IF_MAP_AUTHORITY_AFFECTED,false,OUTSIDE_CERTIFICATION_AUTHORITY,FALLBACK_OR_BOUNDARY
F_TRACKING_LATENCY_UNMODELED,true,RUNTIME,GLOBAL,GLOBAL_AUTHORITY_OR_EVIDENCE,INVALID_UNLESS_ROBUST_CONTRACT_EXISTS,false,OUTSIDE_FROZEN_THEOREM,ASSURANCE_BOUNDARY
F_ACTUATOR_ADMISSIBILITY_LOCAL,false,RUNTIME,CANDIDATE_LOCAL,CANDIDATE_LOCAL_COMPUTATION,UNCHANGED_IF_INDEPENDENTLY_VALID,conditional,C0_CANDIDATE_REJECT,ALT_OR_FALLBACK
F_ACTUATOR_AUTHORITY_UNRESOLVED,false,RUNTIME,GLOBAL,GLOBAL_AUTHORITY_OR_EVIDENCE,INVALID_IF_AUTHORITY_AFFECTED,false,C0_AUTHORITY_UNKNOWN,FALLBACK_OR_BOUNDARY
F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,false,RUNTIME,CANDIDATE_LOCAL,CANDIDATE_LOCAL_COMPUTATION,UNCHANGED_IF_INDEPENDENTLY_VALID,conditional,TYPED_UNKNOWN,ALT_OR_FALLBACK
F_NO_METHOD_CERTIFIED_ACTION,false,RUNTIME,GLOBAL,UNRESOLVED_SCOPE,NONE,false,OUTSIDE_METHOD,ASSURANCE_BOUNDARY
