claim_id,claim,status,supporting_evidence_ids,limits,paper_safe_wording,prohibited_stronger_wording
C1,Start-Safe can identify and repair local unsafe/near-unsafe initial states.,CONFIGURATION_SPECIFIC,"E05,E06,E07,E03","Natural, synthetic, and GT-derived contexts have different denominators.","In the reported frozen contexts, verified Start-Safe repair identified and repaired local unsafe/near-unsafe starts.",Start-Safe universally repairs all unsafe starts.
C2,Start-Safe reduces failures caused by initial conditions relative to no repair.,CONFIGURATION_SPECIFIC,"E04,E05",Original and post-repair navigation are deliberately separate outcomes.,Post-repair flight100 is collision-free in the reported repair-needed cases while original trial57 remains preserved.,Start-Safe proves original-benchmark superiority.
C3,Feasibility/Risk-Aware constraint handling lowers active constraints and some runtime.,CONFIGURATION_SPECIFIC,"E08,E09,E10,E01,E02",Risk-Aware V1 and Feasibility-Aware labels are not interchangeable; ETH3D designated H2 did not enter QP.,Risk-Aware V1 bestD provides configuration-specific formal efficiency evidence in Stonehenge and flight.,All FAS feasibility modules are universally faster or safer.
C4,DT Verification detects sampled/horizon margin risk not explicit in pointwise CBF reporting.,CONFIGURATION_SPECIFIC,"E11,E17,E02",Margin-risk detection is distinct from collision and from closed-loop avoidance.,The frozen DT audits detect sampled/horizon margin-risk precursors under their stated dynamics and margins.,DT detection proves universal collision reduction.
C5,DT Verification universally reduces real collision.,PROHIBITED,,"No same-map, activated, paired collision-outcome evidence supports this generalization.",No global collision-reduction claim is made for DT Verification.,DT Verification has proven universal collision avoidance.
C6,Predictive Recovery eliminates observed H-step margin violations under frozen configurations.,CONFIGURATION_SPECIFIC,"E13,E14,E18",Dense-flight H3/H2 and bounded TUM intervention use different contracts; TUM uses an overlap proxy.,"In the stated dense-flight and bounded TUM configurations, predictive recovery removed the reported executed risk events.",Predictive Recovery universally resolves all future safety risks.
C7,Predictive Recovery universally improves completion or safety relative to SAFER.,PROHIBITED,,No common fully activated registry establishes a general paired superiority effect.,No general completion or safety-superiority claim is made.,Predictive Recovery is universally superior to SAFER.
C8,HCE reduces activated recovery runtime while preserving existing recovery outcomes.,CONFIGURATION_SPECIFIC,"E15,E16",Held-out activated cohort only; Stage-B failures are retained.,HCE reduced activated median runtime from about 8.000 s to 1.643 s in its frozen held-out activated cohort without converting Stage-B failures.,HCE adds recovery capability or reduces runtime universally.
C9,Full FAS-CBF is superior to SAFER on all maps.,PROHIBITED,,Replica saturates and ETH3D lacks an activated H3 paired cohort.,Full-stack superiority is not established.,Full FAS-CBF is globally superior to SAFER.
C10,Full FAS-CBF is a planner-agnostic safety assurance layer.,PARTIALLY_SUPPORTED,"E01,E03,E05,E11,E13,E17",Architecture-level framing is broader than the configuration-specific empirical evidence.,FAS-CBF can be framed as a modular safety-assurance architecture with module-specific empirical support.,"It is empirically proven planner-agnostic across planners, maps, and dynamics."
C11,ETH3D establishes learned-map controller viability and external portability.,PARTIALLY_SUPPORTED,"E01,E02",One learned external 3DGS map; full-stack stress activation is structurally limited.,ETH3D provides a learned-3DGS external viability and portability carrier with an explicit activation limit.,ETH3D proves learned-map deployment safety.
C12,ETH3D establishes learned-map deployment safety.,PROHIBITED,,Minimum controller viability is not deployment certification and no activated full-stack paired outcome exists.,No learned-map deployment-safety claim is made.,The ETH3D map is deployment-certified.
