dedup_key,title,year,venue_status,categories,fulltext,official_code_checked,primary_url,key_evidence,candidate_overlap,limitation_or_exclusion
2209.12266,NeRF-CBF: Safety- and Stability-Critical Control with Neural Radiance Fields,2022,arXiv,C9;C10,FAIL,FAIL,https://arxiv.org/abs/2209.12266,Neural-field perception is embedded in a CBF-based feedback loop,Precursor for implicit-map safety control,Not a Gaussian-map uncertainty qualification study
2304.00194,Safe Perception-Based Control under Stochastic Sensor Uncertainty using Conformal Prediction,2023,primary manuscript,C7;C10,PASS,FAIL,https://arxiv.org/abs/2304.00194,Conformal state-estimation sets combine with measurement-robust sampled-data CBFs,High for D3/D8 calibration semantics,Assumes exchangeability/calibration coverage; not 3DGS-specific
2309.08050,Robust Control Barrier Functions for Sampled-Data Systems,2023,primary manuscript,C8,PASS,FAIL,https://arxiv.org/abs/2309.08050,"Robust CBF constraints explicitly account for sampling, disturbance, and measurement error",Theory baseline for D1/D4,Not a Gaussian-map method
2403.02751,Splat-Nav: Safe Real-Time Robot Navigation in Gaussian Splatting Maps,2024,RA-L 2024,C1;C3,PASS,PASS,https://arxiv.org/abs/2403.02751,Safe polytope planning plus vision localization; 126 hardware flights and 2 Hz replanning,Strong navigation baseline for D2/D5/D7,Planning corridor rather than selective map truth or backup-CBF semantics
2405.00362,Implicit Swept Volume SDF: Enabling Continuous Collision-Free Trajectory Generation for Arbitrary Shapes,2024,ACM TOG 2024,C9,PASS,PASS,https://arxiv.org/abs/2405.00362,Continuous swept-volume SDF for arbitrary-shape trajectory optimization,Strong geometric baseline for D2,Not Gaussian-map-specific and no map-reference uncertainty
2405.10142,GS-Planner: A Gaussian-Splatting-based Planning Framework for Active High-Fidelity Reconstruction,2024,IROS 2024,C1;C4,PASS,FAIL,https://arxiv.org/abs/2405.10142,Gaussian active reconstruction with a safety-aware trajectory planning constraint,Baseline for planning/active mapping,Reconstruction objective and safety constraint differ from executable filter qualification
2409.09868,A Control Barrier Function for Safe Navigation with Online Gaussian Splatting Maps,2024,RA-L 2025,C2;C5,PASS,PASS,https://arxiv.org/abs/2409.09868,SAFER-Splat performs online Gaussian mapping and minimally invasive CBF filtering,Direct baseline and origin of current work,Uses reduced-order dynamics and does not establish our cross-map reference contract
2409.16915,Let's Make a Splan: Risk-Aware Trajectory Optimization in a Normalized Gaussian Splat,2024,ICRA 2025,C1;C3;C10,PASS,FAIL,https://arxiv.org/abs/2409.16915,Bounds collision probability in a normalized splat and optimizes risk-aware trajectories,Strong D2/D5/D6 overlap,Trajectory optimization rather than selective false-free query
2407.03569,Adaptive Conformal Safety Control,2024,arXiv,C7;C10,FAIL,FAIL,https://arxiv.org/abs/2407.03569,Online adaptive conformal calibration for safety control,Calibration baseline for D3/D8,Not 3DGS-specific
2505.08510,FOCI: Trajectory Optimization on Gaussian Splats,2025,IROS 2025,C1;C3,PASS,PASS,https://arxiv.org/abs/2505.08510,Gaussian overlap collision integral supports orientation-aware differentiable optimization,High D2/D5 overlap,Optimization geometry is not a one-sided cross-map truth certificate
2509.14421,Perception-Integrated Safety Critical Control via Analytic Collision Cone Barrier Functions on 3D Gaussian Splatting,2025,arXiv,C2;C5,PASS,FAIL,https://arxiv.org/abs/2509.14421,Analytic forward collision cones from individual splats yield first-order CBF-QP constraints,Very high D2/D5 overlap,No calibrated false-free UNKNOWN contract or two-map reference study found
2604.18205,A Comparative Evaluation of Geometric Accuracy in NeRF and Gaussian Splatting,2026,arXiv,C6,PASS,FAIL,https://arxiv.org/abs/2604.18205,Evaluates rendering representations with independent geometry metrics across 19 scenes,Measurement baseline for D7,Not a navigation/control benchmark
2605.20566,Conflict-Aware Active Perception and Control in 3D Gaussian Splatting Fields via Control Barrier Functions,2026,arXiv,C2;C4;C10,PASS,FAIL,https://arxiv.org/abs/2605.20566,AV@R collision risk and an information-gain CBF are combined in one QP,High D3/D8 overlap,Simulation-focused and active-perception objective differs from reference-qualified abstention
2605.30342,Uncertainty-driven 3D Gaussian Splatting Active Mapping via Anisotropic Visibility Field,2026,CVPR 2026,C4;C5,PASS,FAIL,https://openaccess.thecvf.com/content/CVPR2026/html/Xue_Uncertainty-driven_3D_Gaussian_Splatting_Active_Mapping_via_Anisotropic_Visibility_Field_CVPR_2026_paper.html,GAVIS learns anisotropic visibility uncertainty and supports fast active mapping,High D3/D8 map-confidence overlap,"Uncertainty targets active mapping, not one-sided false-free control certification"
2606.00297,Predicted-Flow Control Barrier Functions for Real-Time Safe Optimal Control,2026,IEEE Access 2026,C8;C10,PASS,PASS,https://arxiv.org/abs/2606.00297,Prediction-horizon barrier and terminal backup set yield a jointly feasible real-time QP,High D4/D5 overlap,Not Gaussian-map-specific
2607.01200,FastBridge: Closing the Model-Based Realization Gap in Safety Filters on 3D Gaussian Splatting for Fast Quadrotor Flight,2026,arXiv,C2;C5;C8,PASS,FAIL,https://arxiv.org/abs/2607.01200,"Full quadrotor dynamics, actuator-aware constraints, analytic collision-cone ECBF, and forward-simulated backup CBF",Most direct D1/D4 competitor and high D5 overlap,Initial hardware validation; does not supply our map-reference qualification benchmark
2607.08948,SplatCtrl: Perception-Action Coupling via Gaussian Scene Representations and Reactive Robot Control,2026,arXiv,C2;C5,PASS,FAIL,https://arxiv.org/abs/2607.08948,Online RGB-D isotropic splats feed continuous collision fields and CBF reactive manipulator control,High D5/D8 overlap,"Sphere approximation, tuning, and scalability are stated limitations"
2603.10392,Safe Probabilistic Planning using Conformal Risk Control,2026,arXiv,C7;C10,FAIL,FAIL,https://arxiv.org/abs/2603.10392,Conformal risk control calibrates probabilistic planning decisions,D3/D8 statistical baseline,Not 3DGS-specific
