direction,phase,order,planned_days,gate,likely_total_days
D0,evidence/data gate,1,7,STOP if fatal data or novelty gate remains,25
D0,minimum contribution,2,2,No extension before phase-1 gate,25
D0,analysis/writing,3,14,Claims remain bounded,25
D1,evidence/data gate,1,9,STOP if fatal data or novelty gate remains,60
D1,minimum contribution,2,30,No extension before phase-1 gate,60
D1,analysis/writing,3,11,Claims remain bounded,60
D2,evidence/data gate,1,10,STOP if fatal data or novelty gate remains,72
D2,minimum contribution,2,30,No extension before phase-1 gate,72
D2,analysis/writing,3,12,Claims remain bounded,72
D3,evidence/data gate,1,10,STOP if fatal data or novelty gate remains,81
D3,minimum contribution,2,30,No extension before phase-1 gate,81
D3,analysis/writing,3,14,Claims remain bounded,81
D4,evidence/data gate,1,10,STOP if fatal data or novelty gate remains,88
D4,minimum contribution,2,30,No extension before phase-1 gate,88
D4,analysis/writing,3,14,Claims remain bounded,88
D5,evidence/data gate,1,10,STOP if fatal data or novelty gate remains,90
D5,minimum contribution,2,30,No extension before phase-1 gate,90
D5,analysis/writing,3,14,Claims remain bounded,90
D6,evidence/data gate,1,9,STOP if fatal data or novelty gate remains,53
D6,minimum contribution,2,26,No extension before phase-1 gate,53
D6,analysis/writing,3,11,Claims remain bounded,53
D7,evidence/data gate,1,10,STOP if fatal data or novelty gate remains,81
D7,minimum contribution,2,30,No extension before phase-1 gate,81
D7,analysis/writing,3,16,Claims remain bounded,81
D8,evidence/data gate,1,10,STOP if fatal data or novelty gate remains,90
D8,minimum contribution,2,30,No extension before phase-1 gate,90
D8,analysis/writing,3,15,Claims remain bounded,90
